Modified:,2024,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
5,Reading,,Session,,“The Path of Non Contention” by [Ajahn Amaro](teacher:) in Beginning Our Day V1 pp. 215-217.,AA,Non-contention,,,,,,,,,,,,
5,Read by,,,,,AKsp,,,,,,,,,,,,,
5,Comment,s,8:36,9:31,about understanding metta as radical acceptance.,AKd,Goodwill,,,,,,,,,,,,
5,,,9:39,,"What is the relationship between truthfulness, the truth of the way things are, and metta?",AKd,,,,,,,,,,,,,
5,Comment,3,,,Bhikkhu Bodhi presents the Ten Perfections in linear order.,AJoti,Bhikkhu Bodhi,Perfections,,,,,,,,,,,
5,Reference,-,,,[A Study of the the Pāramīs](https://bodhimonastery.org/a-study-of-the-paramis.html) by Bhikkhu Bodhi.,,,,,,,,,,,,,,
5,Comment,3,,,The preception of not-self helps us avoid denying unskillful mind states.,AKc,Not-self,Truth,Unskillful qualities,Self-identity view,,,,,,,,,
6,Reading,,0:00,6:36,"“Awe,” Meditations V6 pp. 47-49.",,,,,,,,,,,,,,
6,Read by,,,,,AKc,,,,,,,,,,,,,
6,Reading,,6:36,22:21,"“Strengthening Mindfulness,” a [Dhamma talk](https://www.dhammatalks.org/audio/evening/2012/120104-strengthening-mindfulness.html) given by [Ajahn Ṭhānissaro](teacher:) on January 4, 2012.",AThan,,,,,,,,,,,,,
6,Read by,,,,,AKc,,,,,,,,,,,,,
6,Comment,2s,22:45,,"about the translation of saṃvega as fear, terror, or awe.",ANy;AKd,Spiritual urgency,Translation,Fear,,,,,,,,,,
7,Reading,,Session,,"“Presence,” Uncommon Wisdom pp. 147-156.",,,,,,,,,,,,,,
7,Read by,,,,,APes,,,,,,,,,,,,,
7,Comment,2s,21:06,,about the Middle Way being different for different people.,ANy;AKd;APes,Middle Path,Unwholesome Roots,Idealism,,,,,,,,,,
8,Reading,s,Session,,"“Where There’s a Will, There’s a Way,” [pp. 12-19](Kamma 1st Ed p. 1) and ""Bright Kamma,"" [pp. 26-31](Kamma 1st Ed p. 23) in [Kamma 1st Ed]().",,Kamma,,,,,,,,,,,,
8,Read by,,,,,AShj,,,,,,,,,,,,,
8,Note,,,,"These readings come from the first edition, which Ajahn Sucitto has substantially corrected and revised. Please use the [second edition](Kamma and the End of Kamma) when possible.",,,,,,,,,,,,,,
8,Other,,26:41,28:04,Appreciation for Ajahn Sucitto's detailed descriptions of the maneuverings of the mind.,AKd;AShj,Ajahn Sucitto,Teaching Dhamma,,,,,,,,,,,
8,Reference,,,,[Kamma and the End of Kamma]().,,,,,,,,,,,,,,
8,,,28:13,29:19,Does Ajahn Sucitto describe sati as more a mind quality and sampajañña more a heart quality?,AShj;ANy,Ajahn Sucitto,Mindfulness,Clear comprehension,Heart/mind,,,,,,,,,
8,Reference,,,,Kamma 1st Ed p. 30.,,,,,,,,,,,,,,
8,Comment,3,29:22,,Ajahn Sucitto suggests cutting out habitual reaction patterns by bringing up the perception of not-self.,AKd,Ajahn Sucitto,Right Effort,Habits,Not-self,,,,,,,,,
8,Extra tags,,,,,,Conditionality,Relinquishment,,,,,,,,,,,
8,Reference,,,,[Kamma and the End of Kamma]().,,,,,,,,,,,,,,
8,Comment,3,30:37,33:02,The habitual perceptual patterns condition what we seek out to experience.,AKd,Habits,Perception,Craving,,Ignorance,,,,,,,,
8,Reference,,,,[Kamma and the End of Kamma]().,,,,,,,,,,,,,,
8,Comment,3,,,"We can see how our body and mnd are in constant flux, but we see others as fixed and solid.",ANy,Impermanence,Views,Community,,,,,,,,,,
8,Story,,,,A peaceful sīladhara no longer tells stories in her mind.,AJoti,Proliferation,Community,Equanimity,,,,,,,,,,
9,Reading,,Session,,“Why Come to a Monastery?” by Ajahn Candasiri in Friends on the Path pp. 13-21.,ACandasiri,,,,,,,,,,,,,
9,Read by,,,,,AKha,,,,,,,,,,,,,
9,Discussion,,14:40,,about desire as natural and the reduction and eventual elimination of desire.,AKd,Desire,,,,Aversion,Cause of Suffering,Judgementalism,Cessation of Suffering,,,,,
9,Reference,,,,“Why Come to a Monastery?” by Ajahn Candasiri in Friends on the Path pp. 13-21.,,,,,,,,,,,,,,
9,Comment,3,,,The word natural carries positive connotations in English.,AKc,Naturalness,Language,Culture/West,,,,,,,,,,
9,,,19:41,,Is desire itself the problem or is clinging to and identifying with desire the problem?,AKd,Desire,Clinging,Self-identity view,,Feeling,Dependent origination,,,,,,,
9,Quote,,,,Taṇhā is eliminate-able.,,Craving,Cessation of Suffering,,,,,,,,,,,
9,Comment,,,,about distinguishing between hunger and taṇha at meal time.,Anon,Food,Craving,Moderation in eating,,,,,,,,,,
9,Response,-,,,,AKd;ANy,Views,,,,,,,,,,,,
9,Discussion,0,24:54,,Further ++discussion++ about the role of desire in practice. Led by {teachers}.,AKd,Desire,,,,Noble Truth of Suffering,Conditionality,Human,Monastic life,Judgementalism,,,,
9,Comment,3,,,"If you aren't willing to see desire as a dhamma, then you'll never see Dhamma.",AKha,Desire,Dhamma,,,Culture/West,Guilt/shame/inadequacy,,,,,,,
9,Reference,-,,,“Why Come to a Monastery?” by Ajahn Candasiri in Friends on the Path pp. 13-21.,,,,,,,,,,,,,,
9,Indirect quote,0,,,"A practitioner tells Ajahn Paññāvaḍḍho that sexual desire is natural. He replies, ""So is the Dhamma.""",APes,Ajahn Paññāvaḍḍho,Sensual desire,Naturalness,Dhamma,,,,,,,,,
9,Recollection,,,,of Ajahn Karuṇadhammo's advice to an anagārika about different approaches to dealing with lust.,APes,Ajahn Karuṇadhammo,Sensual desire,Unattractiveness,Characteristics of existence,,,,,,,,,
10,Reading,,Session,,“The Beauty of Sila” by [Ajahn Jayasaro](teacher:) in Forest Path pp. 57-68.,AJaya,Virtue,,,,,,,,,,,,
10,Read by,,,,,TGam,,,,,,,,,,,,,
10,Comment,,22:02,24:11,I have to brace myself when someone is about to kill a bug.,,Killing,Judgementalism,,,,,,,,,,,
10,Response,,,,,AKd,Conscience and prudence,Aversion,Admonishment/feedback,Ajahn Ṭhānissaro,Goodwill,Precepts,,,,,,,
11,Reading,,0:00,,"“Levels of the Breath,” Meditations V5 pp. 47-51.",,Mindfulness of breathing,,,,,,,,,,,,
11,Read by,,,,,TKon,,,,,,,,,,,,,
11,Reading,,12:00,,"“The Four Jhanas,” Meditations V5 pp. 52-57.",,Mindfulness of breathing,Jhāna,,,,,,,,,,,
11,Read by,,,,,TKon,,,,,,,,,,,,,
11,,,26:48,27:22,Are breath energy and awareness the same thing?,TKon,Mindfulness of breathing,Present moment awareness,Ajahn Ṭhānissaro,,,,,,,,,,
12,Reading,,Session,,“Cultivating Gratitude” by [Ajahn Pasanno](teacher:) in Gratitude p. 53.,AP,Gratitude,,,,,,,,,,,,
12,Read by,,,,,TJag,,,,,,,,,,,,,
12,,,15:44,,"During the development of Abhayagiri over the years, has there been a shift in how strictly some practices, activities are followed?",AKd;DS,Amaravati,Ajahn Sumedho,Ascetic practices,Culture/West,Ajahn Chah,Devotion to wakefulness,Work,Ajahn Pasanno,Admonishment/feedback,,,,
12,Extra tags,,,,,,Divine Abidings,Abhayagiri,,,Protocols,Ajahn Amaro,Guilt/shame/inadequacy,,,,,,
12,Story,,,,Can we ask for soymilk?,DS;AKd,Food,Simplicity,Ajahn Pasanno,,,,,,,,,,
12,Recollection,,,,The effects of the gap in seniority between Ajahn Amaro and (then) Tan Karuṇadhammo.,,Abhayagiri,Ajahn Amaro,Ajahn Karuṇadhammo,Sequence of training,,,,,,,,,
12,Recollection,,,,Ajahn Pasanno is lighter and softer now.,DS,Ajahn Pasanno,Personal presence,,,,,,,,,,,
12,Recollection,,,,The gung-ho early days of Chithurst and Amaravati.,DS,Chithurst,Amaravati,Ascetic practices,Disrobing,,,,,,,,,
12,Recollection,,,,The beginning of sharing circles.,DS,Sharing circles,Abhayagiri,Culture/West,Culture/Thailand,,,,,,,,,
12,Comment,,26:51,,Abhayagiri works because the abbots empower members of the community to be in charge of different aspects of the monastery.,ANy,Abhayagiri,Abbot,Saṅgha decision making,,,,,,,,,,
12,Recollection,,,,Ajahn Pasanno asks the Saṅgha before accepting invitations.,ANy;AShj,Ajahn Pasanno,Saṅgha decision making,,,,,,,,,,,
12,Quote,-,,,Ajahn Pasanno is genuinely open to junior members' opinions.,AShj,Ajahn Pasanno,Admonishment/feedback,Humility,,,,,,,,,,
12,Comment,,,,Less admonishment in korwat is needed now at Abhayagiri because momentum has built and you can follow the group.,AShj,Abhayagiri,Protocols,Admonishment/feedback,,,,,,,,,,
12,Response,,,,,AKd,,,,,,,,,,,,,
12,Recollection,,29:46,32:54,Ajahn Pasanno consults the group rather than dictating decisions.,AJoti,Ajahn Pasanno,Abbot,Abhayagiri,Saṅgha decision making,,,,,,,,,
12,Extra tags,,,,,,Leadership,,,,,,,,,,,,
12,Indirect quote,,,,Sometimes it's better to be harmonious than to be right.|Ajahn Pasanno,,Ajahn Pasanno,Communal harmony,Views,,,,,,,,,,
12,Indirect quote,,,,"I must hurry, for there they go, and I am their leader.|Sign above a boss's desk",AKd,Leadership,Humor,,,,,,,,,,,
12,Story,o,32:53,,Carrying wood to the Cloth Yurt.,AJoti,Ajahn Jotipālo,Ajahn Pasanno,Lodging,Work,,,,,,,,,
12,Extra tags,,,,,,Abhayagiri,,,,,,,,,,,,
12,Story,,33:33,34:24,"""How is it going? There are a lot of weeds growing on your walking path.""",DS,Ajahn Pasanno,Debbie Stamp,Work,Posture/Walking,,,,,,,,,
12,Response,,,,,AKd,Gratitude,,,,,,,,,,,,
13,Reading,,Session,,“Being Awareness Itself” in [Don't Take Your Life Personally]().,,Knowing itself,,,,,,,,,,,,
13,Read by,,,,,TSud,,,,,,,,,,,,,
13,Other,,31:22,33:18,Ajahn Pasanno delights in Ajahn Sumedho's ability to share Dhamma.,,Ajahn Sumedho,Teaching Dhamma,Empathetic joy,,,,,,,,,,
13,Indirect quote,,33:22,34:12,Sumedho will teach you about Nibbāna. I can teach you how to look after your bowl.|Ajahn Chah to young Ajahn Vajiro,,Ajahn Chah,Ajahn Vajiro,Ajahn Sumedho,Nibbāna,,,,,,,,,
13,Extra tags,,,,,,Protocols,,,,,,,,,,,,
13,,,34:15,,Can you recommend a book of koans for inspiration?,,Zen,Koan,Dhamma books,,Ajahn Sumedho,Hua tou,Master Hsu Yun,,,,,,
13,Reference,,,,[Word of the Buddha]().,,,,,,,,,,,,,,
13,Story,,38:00,39:41,Harata Rōshi's response to a question about koans.,,Harata Rōshi,Koan,,,Translation,,,,,,,,
13,Response,,,,,AP,Knowing itself,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
14,Reading,,Session,,“Khanti - Patient Endurance” online talk by Ajahn Jayasaro in 2008,,,,,,,,,,,,,,
14,Story,,,,Ajahn Chah encourages Ajahn Sumedho to develop the Hua Tou technique.,,Ajahn Chah,Ajahn Sumedho,Hua tou,Mahasi Sayadaw,Master Hsu Yun,Ven. Ñāṇatiloka,,,,,,,
14,Read by,,,,,DS,,,,,,,,,,,,,
14,,,25:29,,Discussion about the idea of punishment in the vinaya,,,,,,,,,,,,,,
14,,,28:34,,Where does the story in the reading come from?,,,,,,,,,,,,,,
15,Reading,,Session,,“What is the Timeless?” talk by Ajahn Vīradhammo at Tisarana Monastery in 2016,,,,,,,,,,,,,,
15,Read by,,,,,BSteff,,,,,,,,,,,,,
15,Reading,,1:59,,“The Middle Way of Knowing Mental Formations” talk by Ajahn Vīradhammo at Tisarana Monastery in 2016,,,,,,,,,,,,,,
15,Read by,,,,,BSteff,,,,,,,,,,,,,
15,,,23:26,,"What does ""apparent here and now"" mean?",,,,,,,,,,,,,,
16,Reading,,Session,,“Head and Heart Together” in booklet Head and Heart Together by Ajahn Ṭhānissaro,,,,,,,,,,,,,,
16,Read by,,,,,AKd,,,,,,,,,,,,,
16,,,24:47,,Comments on right view and skillful cause and effect regarding the brahmaviharas.,,,,,,,,,,,,,,
16,,,26:21,,"Tan Pesalo asks, ""Did Ajahn Chah emphasize generosity and service more for westerners than for Thais?",,,,,,,,,,,,,,
16,,,28:45,,"Comments on another Ajahn Ṭhānissaro piece, ""Generosity and Metta"" as wisdom practices.",,,,,,,,,,,,,,
17,Reading,,Session,,"“Invincibility” pp. 14-17 in _Seeing the Way, Vol.2 _ by Ajahn Khemadhammo",,,,,,,,,,,,,,
17,Read by,,,,,AJoti,,,,,,,,,,,,,
17,Reading,,1:59,,"“The Road Towards the Exit from the Prison of Hatred” online talk by Ajahn Khemadhammo at Amaravati, 2015",,,,,,,,,,,,,,
17,Read by,,,,,AJoti,,,,,,,,,,,,,
17,,,21:40,,How has work with prisoners affected Ajahn Khemadhammo?,,,,,,,,,,,,,,
17,,,25:03,,Reflections about Ajahn Khemadhammo and his work with prisoners.,,,,,,,,,,,,,,
18,Reading,,Session,,"“Hindrances and their Cessation” pp.47-51 in Ajahn Sumedho, The Anthology, Vol.2 by Ajahn Sumedho",,,,,,,,,,,,,,
18,Read by,,,,,ANy,,,,,,,,,,,,,
18,Reading,,1:59,,"“Emptiness and Form” pp. 53-57 in Ajahn Sumedho, The Anthology, Vol.2 by Ajahn Sumedho",,,,,,,,,,,,,,
18,Read by,,,,,ANy,,,,,,,,,,,,,
18,,,16:37,,Is Ajahn Sumedho saying that art is always coming from a place of ego?,,,,,,,,,,,,,,
18,,,17:47,,Tan Kaccāna comments on the arising of self even in abstract thought; discussion about self in creative endeavors.,,,,,,,,,,,,,,
19,Reading,,Session,,“Who will Feed the Mice?” booklet by Ajahn Amaro,,,,,,,,,,,,,,
19,Read by,,,,,AJivako,,,,,,,,,,,,,
19,,,18:47,,Tan Suhajjo comments on the role of parents.,,,,,,,,,,,,,,
20,Reading,,Session,,"“Recollecting Our Goodness” pp. 23-26 in Beginning Our Day, Vol.1 by Ajahn Amaro",,,,,,,,,,,,,,
20,Read by,,,,,AKsp,,,,,,,,,,,,,
20,,,11:58,,At what point does it become unskillful to continue to reflect on one's own good deeds?,,,,,,,,,,,,,,
20,,,24:37,,Discussion about how one assesses one's practice; goal oriented habits; personalizing kamma and ones practice.,,,,,,,,,,,,,,
21,Reading,,Session,,“We are all Translators” pp. 23-34 in Unexpected Freedom by Ajahn Munindo,,,,,,,,,,,,,,
21,Read by,,,,,AKc,,,,,,,,,,,,,
21,,,25:09,,The author mentions the virtue of using different techniques by different teachers in the practice. Was this part of your decision to choose this reading?,,,,,,,,,,,,,,
22,Reading,,Session,,Excerpts from Rude Awakenings by Ajahn Sucitto,,,,,,,,,,,,,,
22,Read by,,,,,APes,,,,,,,,,,,,,
22,,,29:42,,Was your experience (in India) similar to what is described in the reading?,,,,,,,,,,,,,,
22,,,30:42,,How did you have the opportunity to go to India?,,,,,,,,,,,,,,
22,,,31:39,,"Tan Pesalo asks"" In your time there, was there a big takeaway from your experience; or stories or experiences you would be willing to share?""",,,,,,,,,,,,,,
23,Reading,,Session,,"“Self” pp. 235-244 in Uncommon Wisdom, Life and Teachings of Ajahn Paññavaddho by Ajahn Dick Silaratano",,,,,,,,,,,,,,
23,Read by,,,,,AShj,,,,,,,,,,,,,
23,,,22:01,,Did you have a chance to spend much time with Ajahn Paññavaddho?,,,,,,,,,,,,,,
23,,,22:22,,"Tan Jīvako asks, ""Can you say anything about the ""voice of dhamma"" versus the voice we hear inside our head? is it like the voice of conscience?""",,,,,,,,,,,,,,
24,Reading,,Session,,"“Attammayata” pp. 110-122 in The Island, The Anthology On Nibbana by Ajahn Amaro and Ajahn Pasanno",,,,,,,,,,,,,,
24,Read by,,,,,AKha,,,,,,,,,,,,,
24,,,29:50,,"Sāmaṇera Kondañño asks, ""Can you provide guidance on the contemplation of conceiving, and name and form?""",,,,,,,,,,,,,,
24,,,39:57,,"Tan Pesalo asks, ""Can you restate Luang Por Dtun's rendering of the Four Noble Truths?""",,,,,,,,,,,,,,
24,,,41:53,,"What does the phrase ""beyond good and evil"" mean in reference to the mind of an arahant?",,,,,,,,,,,,,,
25,Reading,,Session,,"“Body” pp. 190-198 in Uncommon Wisdom, Life and Teachings of Ajahn Paññavaddho by Ajahn Dick Silaratano",,,,,,,,,,,,,,
25,Read by,,,,,TGam,,,,,,,,,,,,,
25,,,15:48,,"Questions and discussion about contemplation of body, hair, teeth, nails, skin.",,,,,,,,,,,,,,
25,,,18:34,,Do you contemplate the body before you contemplate mind?,,,,,,,,,,,,,,
25,,,23:12,,"When you are sick, the body is not happy, so it is not that easy to meditate, right?",,,,,,,,,,,,,,
25,,,26:12,,Discussion on the Judeo Christian framework in the West and the split between mind and body processes.,,,,,,,,,,,,,,
26,Reading,,Session,,“Five Piles of Bricks: the Khandas as Burden and Path” pp. 53 -58 in The Karma of Questions by Ajahn Ṭhānissaro,,,,,,,,,,,,,,
26,Read by,,,,,TKon,,,,,,,,,,,,,
26,,,18:55,,"Tan Kaccāna asks, ""Is Ajahn Ṭhānissaro the first voice in a couple thousand years to propose that the khandas may not be a self, or is he drawing from another tradition?""",,,,,,,,,,,,,,
26,,,19:53,,Could you talk about practicing with intention?,,,,,,,,,,,,,,
26,,,23:02,,Is volition the same as becoming or an aspect of becoming?,,,,,,,,,,,,,,
26,,,25:01,,"In trying to create separation between self and the khandas, are there other tools that can help around the act of becoming?",,,,,,,,,,,,,,
27,Reading,,Session,,"“Happiness Forever” pp. 9-10 in Ajahn Sumedho, The Anthology, Vol.3 by Ajahn Sumedho",,,,,,,,,,,,,,
27,Read by,,,,,TJag,,,,,,,,,,,,,
27,Reading,,1:59,,"“Patience” pp. 65-68 in Ajahn Sumedho, The Anthology, Vol.3 by Ajahn Sumedho",,,,,,,,,,,,,,
27,Read by,,,,,TJag,,,,,,,,,,,,,
27,Reading,,2:59,,"“All the Time in the World” pp. 51-52 in Ajahn Sumedho, The Anthology, Vol.3 by Ajahn Sumedho",,,,,,,,,,,,,,
27,Read by,,,,,TJag,,,,,,,,,,,,,
27,,,11:03,,Why is trying to conquer pain a disaster?,,,,,,,,,,,,,,
27,,,14:55,,"At what point in the Forest Tradition do you use a ""warrior strategy"" to conquer pain, defilements?",,,,,,,,,,,,,,
28,Reading,,Session,,"[24:01] Tan Kaccāna asks, "" In working with the breath, when I try to spread well-being throughout the body, it seems to diminish. how do I discern whether to maintain this feeling or go back to the more intense feeling?""",,,,,,,,,,,,,,
28,Read by,,,,,TSud,,,,,,,,,,,,,
28,Reading,,1:59,,[26:27] Does insight arise from deeper concentration or can it also arise from different things?,,,,,,,,,,,,,,
28,Read by,,,,,TSud,,,,,,,,,,,,,
28,Reading,,2:59,,[29:02] Comments about samadhi and continuity of practice.,,,,,,,,,,,,,,
28,Read by,,,,,TSud,,,,,,,,,,,,,
29,Reading,,Session,,"“Reflecting on Beauty and Disappointment” a talk by Ajahn Vīradhammo at Berkeley Buddhist Monastery on November 3, 2015.",,,,,,,,,,,,,,
29,Read by,,,,,DS,,,,,,,,,,,,,
30,Reading,,Session,,"“The One Who Knows” an unpublished talk by Ajahn Kalyāno at Bodhiyana Monastery, Melbourne Australia on October 2012 (with permission).",,,,,,,,,,,,,,
30,Read by,,,,,BSteff,,,,,,,,,,,,,
31,Reading,,Session,,“Alone Together” pp. 151-159 in Unexpected Freedom by Ajahn Munindo,,,,,,,,,,,,,,
31,Read by,,,,,AJoti,,,,,,,,,,,,,
31,,,17:39,,Comments regarding spiritual friends and being a householder.,,,,,,,,,,,,,,
31,,,18:56,,"Tan Kaccāna asks, ""How much reading is appropriate?""",,,,,,,,,,,,,,
31,,,22:33,,"Discussion about loneliness, aloneness, and solitude in the practice.",,,,,,,,,,,,,,
32,Reading,,Session,,"“Identity” pp. 67-76 in Ajahn Sumedho, The Anthology, Vol.4 by Ajahn Sumedho",,,,,,,,,,,,,,
32,Read by,,,,,ANy,,,,,,,,,,,,,
32,,,21:41,,Can I respond to my thoughts in ways that I think are useful?,,,,,,,,,,,,,,
33,Reading,,Session,,"“Memory” pp.199-210 in Uncommon Wisdom, Life and Teachings of Ajahn Paññavaddho by Ajahn Dick Silaratano",,,,,,,,,,,,,,
33,Read by,,,,,AJivako,,,,,,,,,,,,,
33,,,22:31,,Comment about the meaning of sanna as memory.,,,,,,,,,,,,,,
34,Reading,,Session,,"“Why am I Talking?” pp. 92-94 in Beginning Our Day, Vol.2 by Ajahn Amaro",,,,,,,,,,,,,,
34,Read by,,,,,AKsp,,,,,,,,,,,,,
34,,,8:37,,recollection of teaching on mindfulness to develop right speech.,,,,,,,,,,,,,,
35,Reading,,Session,,“The Wisdom of the Ego” pp. 44-49 in Heart and Head Together by Ajahn Ṭhānissaro,,,,,,,,,,,,,,
35,Read by,,,,,AKc,,,,,,,,,,,,,
35,,,22:56,,Comments on skillful happiness and the need for patient endurance.,,,,,,,,,,,,,,
35,,,24:34,,"Ajahn Jotipālo asks, ""Regarding internal happiness, is part of our problem that we don't have enough means to access it?""",,,,,,,,,,,,,,
35,,,26:59,,Discussion about the importance of spiritual friendship.,,,,,,,,,,,,,,
35,,,29:10,,Do people confuse the definitions of ego and self?,,,,,,,,,,,,,,
35,,,31:31,,"Discussion about psychotherapy models, attachment, and self.",,,,,,,,,,,,,,
36,Reading,,Session,,“The Deathless Drum” excerpts from Chapter 9 in Rude Awakenings by Ajahn Sucitto,,,,,,,,,,,,,,
36,Read by,,,,,APes,,,,,,,,,,,,,
36,,,23:48,,Ajahn Pasanno recollects time in India.,,,,,,,,,,,,,,
36,,,27:10,,Comments about decline of Buddhism in India; Buddhism not having a central physical location.,,,,,,,,,,,,,,
37,Reading,,Session,,"“Feeling” pp. 211-220 in Uncommon Wisdom, Life and Teachings of Ajahn Paññavaddho by Ajahn Dick Silaratano",,,,,,,,,,,,,,
37,Read by,,,,,AShj,,,,,,,,,,,,,
37,,,22:26,,"Comments regarding mindfulness, the brahmaviharas, and radical acceptance",,,,,,,,,,,,,,
37,,,26:49,,"Tan Pesalo asks, ""What is the balance between sorting out feelings internally and expressing feelings externally, not repressing them?""",,,,,,,,,,,,,,
38,Reading,,Session,,"“Citta” pp 246-256 in Uncommon Wisdom, Life and Teachings of Ajahn Paññavaddho by Ajahn Dick Silaratano",,,,,,,,,,,,,,
38,Read by,,,,,TGam,,,,,,,,,,,,,
38,,,23:03,,The way Ajahn Paññavaddho describes Citta sounds like a soul? Can you discuss?,,,,,,,,,,,,,,
38,,,30:34,,Discussion about Thai Forest Masters describing Nibbana.,,,,,,,,,,,,,,
38,,,34:10,,"If, in meditation, one sees thought at the point it arises, is it the sense consciousness that sees that or the pure Citta?",,,,,,,,,,,,,,
38,,,35:23,,"How was ""Atta"" defined in the Buddha's time?",,,,,,,,,,,,,,
39,Reading,,Session,,"“The Skill of Restraint” pp. 83 in Meditations, Vol.4 by Ajahn Ṭhānissaro",,,,,,,,,,,,,,
39,Read by,,,,,TKon,,,,,,,,,,,,,
39,Reading,,1:59,,“Two Analogies” pp. 32-36 in The Paradox of Becoming by Ajahn Ṭhānissaro,,,,,,,,,,,,,,
39,Read by,,,,,TKon,,,,,,,,,,,,,
39,,,23:44,,"Sāmaṇera Jāgaro asks, ""Could you say something about the problem of swinging back and forth with restraint practices?""",,,,,,,,,,,,,,
39,,,31:56,,Would you speak on skillful and unskillful ways to approach restraint?,,,,,,,,,,,,,,
39,,,43:57,,"Ajahn Jotipālo asks, ""Regarding the Honeyball Sutta, is withdrawal of external contact, e.g. eye contact, enough?""",,,,,,,,,,,,,,
40,Reading,,Session,,"“Trusting in Wholesome Intentions” pp. 215-221 in Ajahn Sumedho,The Anthology, Vol.5 by Ajahn Sumedho",,,,,,,,,,,,,,
40,Read by,,,,,TJag,,,,,,,,,,,,,
40,,,15:27,,How much did you have to adapt Ajahn Chah's training for your own practice?,,,,,,,,,,,,,,
40,,,19:10,,Did Ajahn Chah have a common statement about his own core practice?,,,,,,,,,,,,,,
40,,,21:50,,Reflections about Ajahn Sumedho and Ajahn Chah.,,,,,,,,,,,,,,
40,,,25:08,,Ajahn Pasanno recalls early years in Thailand.,,,,,,,,,,,,,,
41,Reading,,Session,,"“Realizing Cessation” pp. 44-53 in Small Boat, Great Mountain by Ajahn Amaro",,,,,,,,,,,,,,
41,Read by,,,,,TSud,,,,,,,,,,,,,
41,,,16:17,,Did Ajahn Sumedho have a period when he was more influenced by Zen teachings?,,,,,,,,,,,,,,
42,Reading,,Session,,“Awareness: Nameless and Stopped” a blog post by Ajahn Sucitto,,,,,,,,,,,,,,
42,Read by,,,,,DS,,,,,,,,,,,,,
42,,,22:47,,Does Abhayagiri have its own Korwat?,,,,,,,,,,,,,,
42,,,24:31,,Discussion about bowl washing; monastic training as living by example.,,,,,,,,,,,,,,
42,,,29:28,,"Attending to Name and Form; how does one understand name and form ceasing, or name and form not arising?",,,,,,,,,,,,,,
42,,,32:50,,Is there a precise definition of the saṅkhāra of delusion?,,,,,,,,,,,,,,
43,Reading,,Session,,"“Rebirth” pp. 163-165 and pp. 120-124 in Uncommon Wisdom, Life and Teachings of Ajahn Paññavaddho by Ajahn Dick Silaratano",,,,,,,,,,,,,,
43,Read by,,,,,BSteff,,,,,,,,,,,,,
43,,,17:20,,"Beth asks, ""Did you go to his cremation?""",,,,,,,,,,,,,,
44,Reading,,Session,,“Relating to Hindrances” pp. 27-32 in Working with the Five Hindrances by Ajahn Tiradhammo,,,,,,,,,,,,,,
44,Read by,,,,,AJoti,,,,,,,,,,,,,
