Modified:,2023,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
11,Story,,,,"Ajahn Chah turned on a tape recorder, but the only part of the conversation that was recorded was when Ajahn Kaew farted.",,Ajahn Chah,Ajahn Khao,Technology,Psychic powers,,,,,,,
11,Note,,,,A partially similar story appears in Stillness Flowing p. 189.,,,,,,,,,,,,
11,,,35:44,,Do you have any advice for working with pain?,,Pain,,,,Ajahn Mahā Boowa,Investigation of states,Meditation/Techniques,Direct experience,,,
12,Reading,,Session,,“Unshakeable Peace” from Collected Teachings pp. 427-439.,,,,,,,,,,,,
12,Read by,,,,Tan Khemako,,,,,,,,,,,,
12,,,27:01,,Where was this Dhamma talk given?,,,,,,Ajahn Chah,Wat Pah Pong,Ajahn Mahā Amorn,Dhamma books,Study monks,,
12,,,30:21,,"Luang Ta Mahā Boowa often says, “You kill the kilesas” whereas Ajahn Chah in this talk speaks of the path doing battle with the kilesas. Is this just the translation?",,Ajahn Mahā Boowa,Ajahn Chah,Unwholesome Roots,Eightfold Path,,,,,,,
12,Extra tags,,,,,,Teaching Dhamma,,,,,,,,,,
12,Recollection,,,,"When Ajahn Chah would use personal pronouns, he often used we as opposed to you.",,Ajahn Chah,Teaching Dhamma,Language,Naturalness,,,,,,,
12,,,33:03,,Is this talk a response to the vipassanā movement in Thailand?,,Calming meditation,Insight meditation,Culture/Thailand,Mahasi Sayadaw,Study monks,History/Thai Buddhism,Jhāna,Formless attainments,Psychic powers,,
12,,,37:20,,Is the samatha versus vipassanā debate still active in Thailand?,,Calming meditation,Insight meditation,Culture/Thailand,Views,Ajahn Chah,,,,,,
12,Sutta,,,,AN 6.46 Cunda Sutta: Study monks versus meditation monks.,,Study monks,,,,,,,,,,
12,,,39:10,,"When is it useful to determine to stick with a single practice, even when it doesn't seem to work, instead of exploring other options?",,Meditation/General advice,Ajahn Mahā Boowa,Pain,,Suffering,Right Effort,Practicing in accordance with Dhamma,Mindfulness of mind,Discernment,,
12,Extra tags,,,,,,,,,,Direct experience,Self-identity view,,,,,
13,Reading,,Session,,Khandhavimutti and Samangidhamma p. 29-40.,,,,,,,,,,,,
13,Read by,,,,,APes,,,,,,,,,,,
13,Reference,0,,,"++Alternative translations++: [Bhikkhu Khemasanto](Verses of Liberation p. 1), [Ajahn Thanissaro](A Heart Released p. 37).",,,,,,,,,,,,
13,,,32:34,,Why is sañña often translated as perception?,,Perception,Translation,,,Thai,Recollection,Aggregates,,,,
13,Sutta,,,,MN 43.5 Mahāvedalla Sutta: Conjoined not disjoined.,,,,,,,,,,,,
13,,,37:21,,Have you heard of sañña and saṅkhara being translated as short-term and long-term memory?,,Perception,Volitional formations,Translation,,,,,,,,
13,,,37:48,38:03,Do we have a copy of _Khandhavimutti and Samangidhamma_ in Thai?,,Ajahn Mun,Thai,Artistic expression,,,,,,,,
13,Note,,,,"Ajahn Ṭhānissaro has published an edition of _Khandhavimutti and Samangidhamma_ which includes the poem in Thai, but it does not appear to be available online.",,,,,,,,,,,,
13,,o,38:02,,What does “the longing for the good is the cause of the trouble” mean?,,Ajahn Mun,Craving,Skillful qualities,Right Effort,Eightfold Path,Aggregates,Liberation,Self-identity view,Virtue,,
13,Extra tags,,,,,,,,,,Relinquishment,Jhāna,Ignorance,Cause of Suffering,,,
13,Story,,,,"Sixth Patriarch Sutra: ""No mirror, no dust.""",,Virtue,Liberation,,,,,,,,,
13,Recollection,,,,Ajahn Chah taught you could grasp at either _samut_ (the conventional) or _vimut_ (the transcendant).,,Ajahn Chah,Conventions,Unconditioned,Clinging,Discernment,,,,,,
13,Comment,,44:03,,This reminds me of the phrase “possessing goodness.”,,Self-identity view,Virtue,,,,,,,,,
13,Response,,,,"""The relinquishment doesn't negate the need for cultivation of goodness.""",,Conceit,Right Effort,Relinquishment,Virtue,,,,,,,
13,,,45:16,,Is this similar to the Buddha's teaching to let go of the path?,,Eightfold Path,Relinquishment,,,Ajahn Chah,Not-made-of-that,Right Effort,Ajahn Mun,Thai,,
13,Sutta,,,,SN 1.1 Oghataraṇa: Crossing the Flood.,,,,,,,,,,,,
13,Recollection,,46:55,,Ajahn Pasanno describes Ajahn Mun's skillful use of language.,,Ajahn Mun,Thai,Language,Artistic expression,,,,,,,
13,Extra tags,,,,,,Teaching Dhamma,,,,,,,,,,
13,Reference,,,,[Ajahn Mun Biography](),,Fierce/direct teaching,,,,,,,,,,
13,Reference,,,,"Regarding the photo in Abhayagiri's Dhamma Hall: ""This is the most warm and fuzzy picture of Ajahn Mun."" <br> ![Photograph of Ajahn Mun](image:AjahnMun.jpg)",,,,,,,,,,,,
14,Reading,,Session,,"“Visions of a Samaṇa” from [Samana]() pp. 11-12, [16-17](Samana p. 16), [18-25](Samana p. 18).",,,,,,,,,,,,
14,Read by,,,,,AThp,,,,,,,,,,,
14,Translated by,,,,,AThan,,,,,,,,,,,
14,Teaching,,0:53,1:38,Brief biography of Ajahn Mahā Boowa.,AThp,Ajahn Mahā Boowa,,,,,,,,,,
14,Teaching,o0,1:37,3:23,"Ajahn Pasanno describes the title ""Luang Ta.""",,Monastic titles,Older monks,,,Ajahn Mahā Boowa,Fierce/direct teaching,Thai,,,,
14,,,17:45,,"When Luang Ta Maha Boowa says he's looking for a sign or vision, what does he mean by that?",,Ajahn Mahā Boowa,Nimitta,Deva,,Culture/Thailand,Culture/West,Dreams,Determination,,,
14,Story,,,,Ajahn Tiradhammo asks Ajahn Chah what event convinced him that he was on the path to liberation.,,Ajahn Tiradhammo,Ajahn Chah,Dhamma books,History/Thai Buddhism,Liberation,Dreams,,,,,
14,Story,,,,A yoga teacher interprets an omen from the Blues Brothers.,AJoti,,,,,,,,,,,Yes
14,,,23:51,,Did any of the Western monks go to Ajahn Chah to ask about their dreams?,,Ajahn Chah,Dreams,,,Ajahn Pasanno,,,,,,
14,,,24:45,,Was the biography compiled from what Luang Ta wrote or stories from his students?,,Ajahn Mahā Boowa,History/Thai Buddhism,Dhamma books,,,,,,,,
14,Story,,,,Ajahn Mahā Boowa types Dhamma books and writes letters to practitioners.,,Ajahn Mahā Boowa,Technology,Dhamma books,Teaching Dhamma,,,,,,,
14,,,27:30,,Do you have any information about what the Level 3 Pāli includes?,,Learning,Pāli,History/Thai Buddhism,,Ajahn Chah,Commentaries,,,,,
14,Story,,,,P.A. Payutto passes the ninth level Pāli studies as a novice.,,P. A. Payutto,Learning,Pāli,Novices,Ordination,Royalty,,,,,
14,,,30:56,,What do monks do with Pāli study levels?,,Learning,Pāli,Culture/Thailand,Types of monks,P. A. Payutto,,,,,,
14,Story,,,,The head of the Buddhist University in Bangkok visits Wat Pah Nanachat.,,Learning,Thai sects,Wat Pah Nanachat,,,,,,,,
14,Story,,,,A ninth-degree Pāli scholar spends a year at Amaravati.,,Learning,Amaravati,Wat Pah Nanachat,Ajahn Sumedho,,,,,,,
14,Story,-,,,He found it difficult to translate Ajahn Amaro's teachings to Westerners into Thai.,,Ajahn Amaro,Culture/West,Culture/Thailand,Translation,Dhamma books,,,,,,
15,Reading,,Session,,“Unshakeable Peace” (continued) from Collected Teachings pp. 453-471.,,,,,,,,,,,,
15,Read by,,,,Ajahn Sudhīro,,,,,,,,,,,,
15,,,25:14,,Was Ajahn Chah talking about samādhi or stream entry when he spoke about “not going backwards”?,,Concentration,Stream entry,,,,,,,,,
15,,,26:26,,Did Ajahn Chah tend to emphasize certain Dhammas for Westerners and for Thais?,,Teaching Dhamma,Culture/West,Culture/Thailand,,,,,,,,
15,,,29:07,,Was Ajahn Ñāṇadhammo's experience of being pushed unusual for Western monks?,,Ajahn Ñāṇadhammo,Fierce/direct teaching,Culture/West,Ardency,,,,,,,
15,Extra tags,,,,,,Suffering,,,,,,,,,,
15,Story,0,,,Jack Kornfield's recollections of Ajahn Chah at Insight Meditation Society. Recounted by Ajahn Jotipālo.,AJoti,Jack Kornfield,Ajahn Chah,Insight Meditation Society,Meditation retreats,Culture/West,,,,,,
15,,,31:18,,Before Ajahn Chah had his stroke how many branch monasteries were there at that time?,,Thai Ajahn Chah monasteries,,,,,,,,,,
15,,,31:41,,Was Ajahn Chah involved in training the abbots of those monasteries?,,Thai Ajahn Chah monasteries,Abbot,Mentoring,,Wat Tam Saeng Pet,Wat Pah Nanachat,,,,,
15,,,34:41,,Was the tradition of a monk going to another monastery in their third rains happening in Ajahn Chah's time?,,Sequence of training,Thai Ajahn Chah monasteries,,,,,,,,,
15,,,36:14,,Did Ajahn Chah ever have to use any especially powerful methods of pushing people away when the time came for them to go somewhere else?,,Fierce/direct teaching,,,,Respect,,,,,,
15,Story,,,,The unpopular branch monastery.,,Thai Ajahn Chah monasteries,Building projects,Abbot,Fasting,,,,,,,
16,Reading,,Session,,“A Higher Training” from _Fighting for Freedom Within_ by Ajahn Wanchai pp. 25-38.,,,,,,,,,,,,
16,Read by,,,,,AShj,,,,,,,,,,,
16,,,28:05,,All the Thai Forest Masters give very clear presentations of how they were attaining/finding peace of mind. Is there much written about how Bangkok was reacting when these Masters were saying “attainment is possible?” How were the Thai Masters answering?,,Thai Forest Tradition,Progress of insight,Types of monks,Liberation,Culture/Thailand,Ajahn Lee Dhammadharo,Royalty,,,,
16,,,33:14,,What were the interesting practices you used so that you would get up as soon as you woke up?,,Ajahn Pasanno,Devotion to wakefulness,,,Mindfulness of body,Continuity of mindfulness,Sitter's practice,,,,
16,,,36:11,,Did Ajahn Chah talk about how to approach the nimitas?,,Ajahn Chah,Nimitta,,,Proliferation,,,,,,
16,,,37:37,,"Could it be useful if the object is clear, stable, and peaceful and keeps coming back?",,Nimitta,,,,Proliferation,,,,,,
16,,,38:12,,"With investigating sleep, it seems sleeping less is an effect from good meditation practice rather than a cause; is it because there is less proliferation?",,Devotion to wakefulness,Conditionality,Proliferation,,Craving not to become,Sloth and torpor,Habits,Ardency,Energy,,
17,Reading,,Session,,Chapters “Fearless Warrior Spirit” and “Blessing of a Lifetime” from Mae Chee Kaew pp. 33-49.,,Mae Chee Kaew,,,,,,,,,,
17,Read by,,,,Tan Khantiko,,,,,,,,,,,,
17,,,26:57,,I am curious about ways to know if one is lying to oneself and what to do?,,Truth,Delusion,,,Suffering,Discernment,Bases of Success,,,,
17,Recollection,,,,"Ajahn Chah said the fastest way to enlightenment is to look directly at the mind, point your finger, and say ""Liar!""",,Ajahn Chah,Liberation,Delusion,Proliferation,,,,,,,
17,,,30:56,,"There are photos of Luang Ta Maha Boowa looking very fierce and also photos of him looking very joyful, laughing, and the same with Ajahn Chah, a bit more stern I'd say. Do you think the same could be said of Ajahn Mun, not that there are photos but there could have been?",,Ajahn Mahā Boowa,Ajahn Chah,Happiness,Ajahn Mun,Culture/Thailand,,,,,,
17,Extra tags,,,,,,Technology,,,,,,,,,,
17,Indirect quote,,,,"Those farangs, they really like teeth.|Ajahn Chah",,Ajahn Chah,Culture/West,,,,,,,,,
17,,,34:33,,"What about Luang Por Dune, he looks so mellow; was he ever animated?",,Ajahn Dune,Personality,,,Ajahn Pasanno,Culture/Thailand,Humor,,,,
17,Reference,,,,[Gifts He Left Behind]().,,,,,,,,,,,,
17,Other,,36:24,,Ajajn Pasanno talks about a senior Thai Ajahn talking about his trip to the US.,,Humor,,,,Conditionality,Food,,,,,
18,Reading,,0:00,,"“The Spirit of a Warrior,” unpublished talk by Ajahn Dtun in _Krooba Ajahn_.",ADtun,,,,,,,,,,,
18,Read by,,,,Anāgārika J.R.,,,,,,,,,,,,
18,Reading,,14:56,,"“Aiming to Look After the Kor Patibat,” unpublished talk by Ajahn Baen.",ABaen,,,,,,,,,,,
18,Read by,,,,Anāgārika J.R.,,,,,,,,,,,,
18,,,19:18,,"In the reading there was a lot of emphasis on solitude. Here we have a lot of time for that especially right now with our Winter Retreat, but we also have a lot of responsibilities and engagement in community. How would you recommend us balancing the two or using them to help each other?",,Seclusion,Abhayagiri,Community,Work,Culture/Thailand,Culture/India,Ajahn Chah,Unwholesome Roots,Discernment,,
18,Extra tags,,,,,,Personality,,,,Generosity,Culture/West,Self-identity view,,,,
18,,,26:58,,"Do you have any advice about how to hold a particularly strong “fighting spirit” teaching, like Ajahn Dtun?",,Fierce/direct teaching,Teaching Dhamma,Ajahn Dtun,,Culture/Thailand,Ardency,Right Effort,Restlessness and worry,Heedfulness,,
18,Extra tags,,,,,,,,,,Discernment,Goodwill,,,,,
18,Sutta,,,,AN 1.49: The mind is radiant.,,,,,,,,,,,,
18,Indirect quote,,,,"If you invite visitors into your home [the mind] and they just make a mess, then you want to close the door on them before they come in. You can't be too polite.|Ajahn Chah",,Ajahn Chah,Similes,Unwholesome Roots,Right Effort,,,,,,,
18,Extra tags,,,,,,Ardency,,,,,,,,,,
18,,,32:20,,I got more a sense of metta from Ajahn Dtun than warrior spirit?,,Ajahn Dtun,Goodwill,Fierce/direct teaching,,Ajahn Mahā Boowa,Ajahn Pasanno,Sense of urgency,,,,
18,Story,,35:19,,Ajahn Dtun unexpectedly manifests goodwill towards Ajahn Ñāṇiko.,,Ajahn Dtun,Ajahn Ñāṇiko,Goodwill,,Abbot,Malas,,,,,
18,,,36:45,,"I have another question about balance. LP Baen encouraged his monks to admonish each other, but Ajahn Chah said to put 90% of your attention on your self and only 10% on other people?",,Ajahn Baen,Admonishment/feedback,Ajahn Chah,,Culture/Thailand,Culture/West,,,,,
18,Indirect quote,,,,"If someone criticizes you, then you should raise your hands in añjāli and say 'Sadhu!' because you don't have to hire them to do it for you!|Ajahn Chah",,Ajahn Chah,Admonishment/feedback,Respect,Gratitude,,,,,,,
18,,,39:16,,Isn't there a story about when Ajahn Chah wanted to give feedback to a senior monk and he waited 20 or 30 years?,,Ajahn Chah,Admonishment/feedback,Right Speech,,Ajahn Baen,Vinaya,Protocols,Cleanliness,,,
19,Other,,0:00,,Dedication of the reading to Iris Landsberg.,DS,Lay life,Death,,,,,,,,,
19,Teaching,,0:26,,Brief biography of Upasika Kee Nanayon.,DS,Upasikā Kee Nanayon,Lay life,History/Thai Buddhism,,Seclusion,Community,,,,,
19,Reading,,2:45,,"“[Reading the Mind](https://www.abhayagiri.org/media/discs/APasannoRetreats/2014%20Thai%20Forest%20Tradition/Texts/Reading%20the%20Mind.htm)” from _Pure and Simple_, by Upasika Kee Nanayon, pp. 163-177.",UKee,,,,,,,,,,,
19,Read by,,,,,DS,,,,,,,,,,,
19,,,30:30,,What Pāli word do you think Ajahn Geoff is translating as thought formations?,,Pāli,Translation,Ajahn Ṭhānissaro,,Volitional formations,Thai,,,,,
19,,,31:25,,"In another Ajahn Geoff translation, I have seen him use “supposings” or “fashionings.' Is that the same word?",,Ajahn Ṭhānissaro,Translation,Thai,,Conventions,Ajahn Chah,Liberation,,,,
19,,,32:16,,Did Upasika Kee focus on vedana more than other things or was that just in this chapter?,,Upasikā Kee Nanayon,Feeling,,,Insight meditation,,,,,,
19,,,33:10,,During her lifetime did she have a lot of followers?,,Upasikā Kee Nanayon,Community,,,Animal,,,,,,
19,,,34:41,,Would it be possible to give a working definition of saṅkhāra? It seems that saṅkhāra is used by different people in different ways.,,Volitional formations,Aggregates,,,Conditionality,Form,,,,,
19,Reference,,,,"Abhayagiri Chanting Book p. 23: ""All conditions are impermanent.""",,,,,,,,,,,,
20,Recollection,3s,0:00,,Ajahn Dtun's visit and Iris Landsberg.,BSteff,,,,,,,,,,,
20,Indirect quote,,,,"In the morning, a health friend. In the evening, a wisp of cremation smoke.|unnamed Chan master.",,Death,Recollection/Death,,,,,,,,,
20,Reading,,1:13,,Unpublished Q & A session from Ajahn Dtun's 2013 visit to Canada.,ADtun,,,,,,,,,,,
20,Read by,,,,,BSteff,,,,,,,,,,,
20,,,26:55,,I'm interested in the theme mentioned of the body and mind being separate from each other. The questioner asks 'Don't they have influence on one another?' I'm curious about how to reflect on that.,,Form,Nature of mind,,,Ajahn Chah,Sickness,Knowing itself,,,,
20,Story,,,,Ajahn Chah retreats into the peace and stability of the mind to cope with a lung infection.,,Ajahn Chah,Sickness,,,,,,,,,
21,Other,,0:00,,Background information about Paul Brieter and _Being Dhamma_.,AP,Paul Breiter,,,,Ajahn Chah,Translation,Dhamma books,,,,
21,Reading,,1:57,,“Kondañña Knows” from [Being Dharma]() pp. 151-168.,,,,,,,,,,,,
21,Read by,,,,,AP,,,,,,,,,,,
21,,,40:32,,"The worldly winds appear quite distinct from each other, but status and praise seem closely related. Why?",,Worldly Conditions,Blame and praise,Fame and disrepute,,,,,,,,
21,,,42:37,,A stream-enterer is said to come back no more than seven lifetimes. Why the number seven?,,Stream entry,,,,,,,,,,
21,,,44:19,,"It's interesting that he equates the extreme of self mortification to aversion, ill-will, and pushing away.",,Middle Path,Aversion,Ill-will,,Ajahn Chah,Desire,Ajahn Liem,Relinquishment,Arahant,,
21,Extra tags,,,,,,,,,,Idealism,,,,,,
21,,,48:45,,"Could that “quality of knowing” be a variation on the teaching of sati-sampajañña, mindfulness and clear comprehension?",,Mindfulness,Clear comprehension,,,Discernment,,,,,,
21,Reflection,2,49:25,,"about the Buddha saying, ""Māra, I see you!""",AJoti,Buddha/Biography,Māra,,,,,,,,,
21,Response,,,,about the definition of an arahant being “one who is far from defilements” and insight into not self.,,Ajahn Chah,Not-self,Stream entry,Self-identity view,,,,,,,
21,Sutta,,,,MN 123 Acchariya-abbhūta Sutta: Wonderful and Marvelous.,,,,,,,,,,,,
22,Reading,,Session,,[Steps Along the Path](https://www.accesstoinsight.org/lib/thai/thate/stepsalong.html) by Ajahn Thate pp. 3-12.,,,,,,,,,,,,
22,Read by,,,,,AJoti,,,,,,,,,,,
23,Reading,,Session,,“Looking Within” from _Me and Mine_ by Ajahn Buddhadāsa pp. 69-77.,ABuddhadasa,,,,,,,,,,,
23,Read by,,,,,ANy,,,,,,,,,,,
23,,,30:13,30:53,Do you recall when Ajahn Buddhadāsa died?,,Ajahn Buddhadāsa,,,,Translation,,,,,,
23,Recollection,0,31:10,,Ajahn Ñaniko speaks about the time Luang Por Liem spent at Suan Mokh.,ANy,Wat Suan Mokkh,Ajahn Liem,,,,,,,,,
23,Recollection,,,,The Thai translations in the Wat Pah Pong chanting book come from Ajahn Buddhadāsa.,,Chanting,Wat Pah Pong,Thai,Translation,Ajahn Buddhadāsa,,,,,,
23,Recollection,,,,Ajahn Liem reads and comments on the monthly poem in the Ajahn Buddhadāsa calendar.,,Ajahn Liem,Ajahn Buddhadāsa,Artistic expression,,,,,,,,
24,Other,,0:00,,Format of [Gifts He Left Behind]().,AAh,,,,,,,,,,,
24,Reading,,1:18,,[Gifts He Left Behind](): [Introduction](Gifts He Left Behind p. -7).,,,,,,,,,,,,
24,Read by,,,,,AAh,,,,,,,,,,,
24,Story,,3:54,5:40,The Queen invites the best neurosurgeons to help Ajahn Chah in a special suite in Chulalongkorn Hospital.,AP,Ajahn Chah,Sickness,Royalty,Health care,Saṅgha decision making,,,,,,
24,Story,,,,Ajahn Dune occupies the suite after Ajahn Chah.,,Ajahn Dune,,,,,,,,,,
24,Reading,o,5:39,,"[Gifts He Left Behind](): Biographical Sketch and pp. 105-109, 1, 3, 6-9, 11-12, 15-19, 77.",,,,,,,,,,,,
24,Read by,,,,,AAh,,,,,,,,,,,
24,,,26:53,,"Ajahn Pasanno, did I hear correctly the other day that you met Luang Por Dune?",,Ajahn Pasanno,Ajahn Dune,,,Wat Pah Nanachat,Wat Burapha,Personality,Teaching Dhamma,,,
24,,,30:18,,"His monastery is quite loud, isn't it?",,Ajahn Dune,Wat Burapha,Seclusion,,,,,,,,
24,Reading,,32:00,,"“Its Easy if You are not Attached,” Gifts He Left Behind p. 77.",,Ajahn Dune,Wat Burapha,,,Rains retreat,,,,,,
24,Read by,,,,,AAh,,,,,,,,,,,
24,Quote,,,,It's the nature of light to be bright; it's the nature of noise to be loud.,ADune,Contact,Sense restraint,Discernment,,,,,,,,
24,,,34:18,,I was reading that Reverend Heng Sure found that his meditation object was particularly bright and clear when he was around his teacher Master Hua. I wondered if you experienced anything like that when you paid respects to various Ajahns?,,Rev. Heng Sure,Master Hsuan Hua,Ajahn Pasanno,Meditation,Conscience and prudence,Respect for elders,,,,,
26,Reading,,Session,,"“The Principle of the Present,” Straight from the Heart pp. 129-149.",,,,,,,,,,,,
26,Read by,,,,,ACu,,,,,,,,,,,
27,Reading,,Session,,"“In the Shape of a Circle,” Still Flowing Water p 77.",,,,,,,,,,,,
27,Read by,,,,,AKc,,,,,,,,,,,
27,,,26:59,,"With your meditation object, when you turn to contemplate it in terms of the three characteristics: anicca, dukkha and anatta, and that doesn't come up, does that mean you need to stabilize the mind more to see the object more clearly?",,Meditation,Disenchantment,Characteristics of existence,Concentration,Self-identity view,Knowledge and vision,Relinquishment,Dhamma,,,
28,Reading,,Session,,Mindfulness of Death pp. 1-20.,,,,,,,,,,,,
28,Read by,,,,,AThp,,,,,,,,,,,
28,,,17:00,,Was Ajahn Plien a disciple of Ajahn Lee's?,,Ajahn Plien,Ajahn Lee Dhammadharo,,,Ajahn Waen,,,,,,
28,,,18:40,,"In the Pure Land tradition, there are practices that prepare one for death. Are there are specific recommendations that yourself or Ajahn Chah would give for preparation for that last moment before death?",,Pure Land,Ajahn Chah,Death,Recollection/Death,Buddho mantra,,,,,,
28,Story,,,,"Family members try to encourage a drunkard to recollect ""Arahaṃ"" in his last moments.",,Death,Mantra,Humor,,,,,,,,
28,Story,,,,Ajahn Chah's response to Paul Breiter's desire to teach meditation to dying people.,ANy,Ajahn Chah,Paul Breiter,Meditation,Death,Fierce/direct teaching,Buddho mantra,,,,,
28,Story,,,,"Ajahn Karuṇadhammo advises Iris Landsberg to recollect ""sorrowless, spotless, secure.""",AKc,Ajahn Karuṇadhammo,Death,Recollection,,,,,,,,
