4,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Meditation Instruction 2.mp3,11:15,AP,Meditation Instruction 2,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_04_Med_Instruct_2.mp3,0,Ajahn Chah,,,,675,,,,,,
5,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Alms Reflection.mp3,12:20,AP,Alms Reflection,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_05_Alms_Reflection.mp3,0,Ajahn Chah,,,,740,,,,,,
6,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Mealtime Blessing.mp3,3:17,AP,Mealtime Blessing,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_06_Meal_Blessing.mp3,0,Ajahn Chah,,,,197,,,,,,
7,19/09/2010,2010-09-27 Recollections of Ajahn Chah - His Life and Teachings - Part 2.mp3,29:43,AP,His Life and Teachings Part 2,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_07_Aft_Recollection.mp3,0,Ajahn Chah,,,,1783,,,,,,
8,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Meditation Instruction 3.mp3,15:32,AP,Meditation Instruction 3,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_08_Med_Instruct_3_aft.mp3,0,Ajahn Chah,,,,932,,,,,,
9,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Purpose of Walking.mp3,5:33,AP,Purpose of Walking,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_09_Walking_Aft.mp3,0,Ajahn Chah,,,,333,,,,,,
10,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Readings.mp3,9:38,AP,Readings,,0,Ajahn Chah,,,,578,,,,,,
11,19/09/2010,2010-09-27 Recollections of Ajahn Chah - His Life and Teachings - Part 3.mp3,44:48,AP,His Life and Teachings Part 3,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_14_Final_Recollections.mp3,0,Ajahn Chah,,,,2688,,,,,,
<---->,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,AListen?,Exclude?
1,Recollection,,0:30,,My connection with Ajahn Chah.,,Ajahn Pasanno,,,,Wat Pah Pong,,,,,,,
1,Indirect quote,,,,"If you want to stay here, you have to stay at least five years.|Ajahn Chah",,Ajahn Chah,Ajahn Pasanno,Wat Pah Pong,Sequence of training,,,,,,,,
1,Other,,,,Jack Kornfield arrives with a large picture of Ajahn Chah.,,Jack Kornfield,Ajahn Chah,,,,,,,,,,
1,Story,,,,The needlepoint Ajahn Chah portrait at Abhayagiri.,,Ajahn Chah,Abhayagiri,Wat Pah Nanachat,Devotional practice,,,,,,,,
1,Other,,5:30,8:55,Outline of the day; progress of Ajahn Jayasaro's biography of Ajahn Chah.,,Ajahn Jayasaro,Dhamma books,,,,,,,,,,
1,Reference,,,,[Stillness Flowing](),,,,,,,,,,,,,
1,Reflection,,9:11,12:06,The impact and inspiration of Ajahn Chah,,,,,,Thai Ajahn Chah monasteries,Western Ajahn Chah monasteries,Ajahn Chah Remembrance Day,Wat Pah Pong,,,,
1,Reading,,12:08,16:37,from the draft biography: Ajahn Chah's birthplace and early life.,AJaya,Culture/Thailand,Family,Children,,,,,,,,,
1,Reference,,,,Stillness Flowing p. 22,,,,,,,,,,,,,
1,Reading,,16:41,19:09,"from the draft biography: At the age of nine, Ajahn Chah asks to go to the village monastery.",AJaya,Family,Types of monastics,,,,,,,,,,
1,Reference,,,,Stillness Flowing p. 25,,,,,,,,,,,,,
1,Story,,19:20,,Novice Chah disrobes at age 16.,,Disrobing,Culture/Thailand,,,,,,,,,,
1,Reading,,20:56,,from the draft biography: Ajahn Chah falls in love.,AJaya,Relationships,,,,Culture/Thailand,Sense of urgency,Sensual desire,,,,,
1,Reference,,,,Stillness Flowing p. 34,,,,,,,,,,,,,
1,Reading,,25:06,,from the draft biography: Ajahn Chah ordains at age 20.,AJaya,Ordination,,,,Culture/Thailand,Military,Merit,Sense of urgency,Learning,,,
1,Extra tags,,,,,,,,,,Pāṭimokkha,,,,,,,
1,Reference,,,,Stillness Flowing p. 37,,,,,,,,,,,,,
1,Reading,,29:21,,from the draft biography: Ajahn Chah obsesses about food.,AJaya,Food,Sensual desire,,,,,,,,,,
1,Reference,,,,Stillness Flowing p. 39,,,,,,,,,,,,,
1,Indirect quote,,,,Close the doors. I'm going to eat noodles today!|Ajahn Chah,AP,Ajahn Chah,Food,,,,,,,,,,
1,Reading,,31:14,37:16,from the draft biography: Ajahn Chah accepts his dying father's request to stay as a monk for life.,AJaya,Family,Monastic life/Motivation,Sickness,Death,Mindfulness of body,Sense of urgency,Saṃsāra,,,,,
1,Extra tags,,,,,,Determination,,,,,,,,,,,
1,Reference,,,,Stillness Flowing p. 40,,,,,,,,,,,,,
1,Indirect quote,,,,"I dedicate my body and mind, my whole life, to the practice of the Lord Buddha’s teachings in their entirety. I will realize the truth in this lifetime … I will let go of everything and follow the teachings. No matter how much suffering and difficulty I have to endure I will persevere, otherwise there will be no end to my doubts. I will make this life as even and continuous as a single day and night. I will abandon attachments to mind and body and follow the Buddha’s teachings until I know their truth for myself.|Ajahn Chah",,Ajahn Chah,Determination,Ardency,Patience,Doubt,Continuity of mindfulness,Relinquishment,Knowledge and vision,,,,
1,Reference,-,,,Stillness Flowing p. 42,,,,,,,,,,,,,
1,Reflection,4,,,The singular quality of Ajahn Chah's resolution.,AP,Ajahn Chah,Determination,,,,,,,,,,
