Key,Value,,,,,,,,,,,,,,,,
1,,,40:59,,Why go through all the trouble to teach us how to not have a self and then refuse to tell us there is no self?,,Teaching Dhamma,,,,Relinquishment,Suffering,Questions,Aggregates,Sense bases,,
1,Comment,s,43:04,44:27,regarding the intellectual framework of the aggregates versus bringing it back to experience.,,Aggregates,Learning,Direct experience,,,,,,,,
1,,,44:29,,Is renting a good metaphor for not-self?,,Similes,,,,Ajahn Chah,,,,,,
1,Indirect quote,,,,We only rent this house. We don't own it.,,Similes,Not-self,,,,,,,,,
1,Reference,,,,"""Our Real Home"" in Collected Teachings p. 145",,,,,,,,,,,,
1,,,45:31,46:06,"In regard to self and emotions, you acknowledge and embrace it but don't hold tightly?",,Emotion,Clinging,Relinquishment,,Discernment,,,,,,
1,Comment,,46:10,48:03,"In the classes I teach, we use the acronym R.A.I.N. – Recognize, Allow, Investigate, Not-identify. I explain not-identify by asking my students, ""If you say, 'I am angry,' when anger goes away, what happens to you?"" ",MMotaghy,Teaching Dhamma,Self-identity view,,,,,,,,,
1,,,48:05,,"The Buddha asks us to look at the things we identify with as self and notice they are not who we are. But if there's nothing else but those things, there is no self, right?",,Buddha,,,,Teaching Dhamma,Learning,Liberation,Suffering,,,
1,Follow-up,,,,Isn't there then an implication that there is somethign else that could be self?,,Liberation,Views,,,,,,,,,
1,Comment,s,49:43,51:36,regarding not-self.,,Nature of the cosmos,Kamma,Self-identity view,,,,,,,,
1,Response,,,,,,Buddha,Teaching Dhamma,,,,,,,,,
1,Comment,,51:38,,"I've found it helpful to recognize that for me there aren't any right answers, only right questions.",,Culture/West,Questions,,,,,,,,,
1,Response,,,,,,Self-identity view,,,,,,,,,,
1,,,52:16,,"Is the heir to my thoughts, words, and deeds me or some other guy?",,Kamma,Rebirth,,,Becoming,Cessation,Self-identity view,Direct experience,,,
1,,,53:47,56:57,The fear that arises upon the realization that there's nothing there is so strong that it takes away from the awareness being able to stay with it. Any suggestions?,,Fear,Knowledge and vision,,,Recollection,Goodwill,Gladdening the mind,Suffering,Cessation of suffering,,
1,Extra tags,,,,,,,,,,Learning,Faith,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
