2,,,18:38,,,You mentioned that asubha practice can cool sensual desire. But what if what you are attracted to is not so much a physical thing but an attraction of the heart—of good qualities you see. What cools the heart if you are hooked?,Unattractiveness,Dispassion,Clinging,,,,,,,,,,,
2,,,22:41,,,"How often and for how long do you recommend practicing meditation at home? Daily, twice a day, 45 minutes, 30 minutes? Thank you!!!",Meditation/General advice,,,,,,,,,,,,,
2,,,26:36,,,How do you know if sloth and torpor are present or if you're just plain tired? When is it better to rest the mind or the body than to meditate?,Sloth and torpor,,,,,,,,,,,,,
2,,,30:42,,,"For all the monastics individually—when was the last time something made you really angry, and if you don't mind sharing, what was it? Just trying to feel the humanness within the robes. Thanks.",Aversion,Monastic life,,,,,,,,,,,,
2,,,32:16,,,"Thank you for so many wonderful teachings. I am contemplating cessation and would like to hear more about the cessation of the body-death. I have been with a few beings as they have died, 1 human and a few pets. Is the manner of death important to having a “good” rebirth? Does being afraid or suffering a great deal affect the next life directly or is the experience of death just added to ones overall karma?",Death,Rebirth,Cessation,Fear,Stream entry,,,,,,Yes,,,
2,Extra tags,,,,,,Suffering,Kamma,,,,,,,,,,,,
2,,,38:01,,,Is it possible to post a list of the focuses of the 16 steps? It would be a helpful resource for the remainder of the retreat.,,,,,,,,,,,Yes,,,
2,,,38:36,,,Its been years since I needed to do so much laying down meditation. My back is not cooperating this retreat. Can you refresh my memory on tricks to not fall asleep? Eyes open feels as if I struggle to maintain it.,Posture/Lying down,Sloth and torpor,,,,,,,,,,,,
2,,,42:53,,,"Regarding the anussatis, how does one recollect or contemplate the devas?",Recollection/Devas,,,,,,,,,,,,,
2,,,48:27,,AP;AKd,"Regarding the 1st precept of non-killing / non-harming, what to do on a practical / decision level regarding something like termites? I sold my last house because I didn't want to fumigate, but I can't keep moving to avoid killing termites / ants that eat at a house. Thank you for your compassion and explanation.",Killing,,,,Abhayagiri,,,,,,Yes,,,
2,,,54:49,,,"The problem of extremes. Yesterday, pīti. This morning, the horrors of the bait and craving for annihilation in all their ugliness. Then, pīti again. The only thing I've figured is to back off from meditation when things get too extreme. Any other suggestions?",Meditation/General advice,Rapture,Craving not to become,,,,,,,,,,,
3,,,0:13,,,"During my meditation, I can occasionally calm the mind to the point where it seems devoid of thought. It is temporary, like a door opening. How should I use this opportunity? Concentrate on the breath? Wait for thoughts to arise and watch them? Explore / investigate a topic that is causing my suffering? Other? With gratitude.",Tranquility,Meditation/General advice,Concentration,,,,,,,,,,,
3,,,5:11,,,"With all of many excellent frames of reference the Buddha has given us to understand our experience, it can be confusing to know which to use when! Do you recommend training systematically or letting ones intuition be as their guide? Thank you.",Right Mindfulness,Intuition,,,,,,,,,,,,
3,,,6:19,,,"Can you please speak a little more about the process of bringing in a wholesome, brightening reflection into meditation? This morning you spoke about using directed thought / evaluation to explore the primary object (breath) then bringing in the “brightening” object. In this way, the attention shifts back and forth from breath to “brightening” object? Should one use this reflection often? Always? Please speak about this process. Thank you.",Directed thought and evaluation,Gladdening the mind,Mindfulness of breathing,Recollection,,,,,,,,,,
3,,,12:05,,,"I've enjoyed practicing with connecting the breath to whatever is conditioning the mind. Twice however, when evaluating, I've come across something new: a plain, white, fizzy, barrier. It's not un-friendly and I can feel a faint tug from whatever is behind it but that's as far as I get. Have my saṅkhāra’s developed a new stealth technology? Are they allowed to do that? Any advice on how to proceed (or secret passwords)? Gratefully appreciated.",Mindfulness of breathing,Meditation/Unusual experiences,Volitional formations,,,,,,,,,,,
3,,,15:09,,,"As I understand it, it is rare and fortunate to have a human birth because of the amount of suffering in the human realm that may lead one to practice to end suffering. On the other hand, devas have less suffering. Therefore they would be less motivated to practice to end suffering, correct? If so, would it not be better for one to wish oneself and others to be reborn in the human realm if one aspires full liberation?",Human,Deva,Rebirth,Liberation,,,,,,,,,,
3,Extra tags,,,,,,Suffering,,,,,,,,,,,,,
3,,,18:07,,,"When you described pīti yesterday, it was different than how I think of it. Sometimes, I get a feeling of a great, expansive happiness like the realization that this practice actually works. It's exciting and empowering but I'm not jumping up and down. It's a combination of the mind settling and opening. Is that a cousin of pīti? Does pīti only happen in meditation?",Rapture,,,,,,,,,,,,,
3,,,20:34,,,"Thank you for these wonderful teachings. I understand that “citta” is both the heart and mind but my felt experience is often so different. My mind is often crabby and critical and down right mean, at least to me, but my heart is soft and sweet and easily moved. In fact, my mind can make my heart cry! Please help with this dilemma. Much mettā.",Nature of mind,Heart/mind,Judgementalism,,,,,,,,,,,
3,,,22:25,,,"I know parting with loved ones is a natural course of life, but deep sadness and grief arises when I reflect on that. Could you instruct on how to work with this grief? Is there a level of understanding when there is no grief? Thank you!",Grief,,,,,,,,,,,,,
3,,,31:39,,,"1. What is meant by “releasing” the mind? Releasing it from any hindrance? Can you place illustrate with examples? 2. How is “calming mental fabrication” different from “releasing the mind?” Any examples to illustrate? 3. When mental fabrication causes a bodily or verbal fabrication such as in anxiety or sensual desire, it it too late to breathe and calm fabrications?",Mindfulness of breathing,Tranquility,Volitional formations,Release,,,,,,,,,,
3,,,39:11,,,How do you use mindfulness of breathing when are doing a recollection? Do you first use mindfulness of breathing to settle the mind / body and then turn your attention to the recollection? Is the awareness of breathing in the background?,Mindfulness of breathing,Recollection,,,,,,,,,,,,
3,,,43:20,,,Should I focus on one object of mindfulness at a time or can I be mindful of all 4 at one time? Thank you!,Right Mindfulness,,,,,,,,,,,,,
3,,,45:16,,,You mentioned “inner confidence…” can you describe it in more detail and the ways to cultivate it? Respectfully.,Jhāna,Faith,Self-reliance,,,,,,,,,,,
3,,,50:59,,AKd,"Dear Aj. Karuṇadhammo, could you say a bit more about how you find a belief in rebirth to be motivational? And that it “just makes sense?”  Do you think, perhaps, about the person who will inherit your rebirth and how it would be good to load them up with good kamma? Thanks!",Rebirth,Kamma,Faith,,,,,,,,,,,
3,,,56:15,,,"Could you please speak a bit about karma and volition? For instance, if an unwholesome thought such as anger, or fear arises or wants to arise of its own accord in the mind, does one get unwholesome karma? Or is the bad karma produced only through the grasping or rejection of it? Or is bad karma produced only if action is taken? Or are different kinds of karma produced for thought vs. action?",Kamma,Volition,,,,,,,,,,,,
3,,,63:05,,,Please talk about 1) whole-body breathing 2) choice-less awareness. Thank you Ajahn Pasanno and Ajahn  Karuṇadhammo for wonderfully helpful talks.,Mindfulness of breathing,Relinquishment,,,,,,,,,,,,
3,,,69:18,,,Is contemplating the heart center a form of the second foundation of mindfulness?,Mindfulness of feeling,,,,,,,,,,,,,
3,,,71:05,,,"How does one work with ones own judgments that come up so often during the meditation practice? (They are mostly judgments of myself, for not getting there…)",Judgementalism,Guilt/shame/inadequacy,,,,,,,,,,,,
3,,,74:16,,,"I have enjoyed the mindfulness instruction and Dhamma talks very much. When talking about the main subject in English, could you also please use the equivalent word in Pali? For words such as “the Four Noble Truths,” “hindrances,” and “the Four Foundations of Mindfulness,” etc.",,,,,,,,,,,,,,
4,,,0:03,,,"How refined should the practice of being sensitive to the entire body be? Say, should I be able to sense my earlobe or liver? I find it hard to sense the body when it gets calm. Is it normal or is it a lack of discernment?",Mindfulness of body,Mindfulness of breathing,,,,,,,,,,,,
4,,,2:03,,,It's my first time listen to Ajahn Ñāniko. What have you done to him Luang Por?,Ajahn Ñāṇiko,,,,,,,,,,,,,
4,,,2:31,,,Would you say more about the meaning of merit? Are there other words or definitions in English? Thanks again for your teachings.,Merit,,,,,,,,,,,,,
4,,,5:22,,,"I find the mind especially distractable during meal times. Partly this reflects longstanding habits of talking, reading, listening to news, etc, while eating. In the retreat context, it's also due to the heightened “social” aspect of meal time (even though in silence). Can you give some suggestions for staying more present and mindful while eating? A deep bow of gratitude for your wonderful teachings…",Food,Habits,Meditation retreats,Present moment awareness,,,,,,,,,,
4,,,10:28,,,"A Buddhist teacher explains as I understand it, that the first three factors of enlightenment are causes and the last four are the effects. And that a meditation practitioner therefore works on the first three (with right view) and the last four will follow in time. Please comment. Thank you.",Factors of Awakening,Right View,,,,,,,,,,,,
4,,,15:03,,,What is a stream enterer? Can a stream enterer go back? Are there lay people who attain stream entry and remain in lay life?,Stream entry,Lay life,,,Stages of awakening,Great disciples,,,,,Yes,,,
4,Other,,,,,Written question in Thai: ขอโอกาสกร้าบพระเดชพระคุณหลวงพ่อ ถาม คําถาม Q: Stream enterer คืออะไร? การมุ่สู่โสดาปัตติผล? หรือการมุ่งสู่นิพพาน? Q: นอกจาก นางวิสาขา มหาอุบาสิตแล้ว มีฆราวาส/lay person คนใดบ้างที่เป็นเพียงคนธรรมดาไม่ได้ออกบวช แต่สามารถบรรลุโสดาปัตติผลได้? Q: ผู้ฏิบัติที่ยังมีสามี/ภรรยา สามารถจะมีวาสนาสั่งสมบุญบารมีเพือให้บรรลุสุ่โสดาปัตติผลได้ไหม? โดยที่ไม่ต้องเลิกร้าง/แยกเตียงกับคู่ครอง ขอแนวทางคิคด้วย,Question in Thai,,,,,,,,,,,,,
4,Reference,,,,,[The Island](),,,,,,,,,,,,,,
4,,,19:51,,,"Regarding yesterdays teaching that rebirth is happening every moment, could you give instructions on how to discern the preceding step, becoming (bhavanga)? Would you consider transition from sleep into an awakened state being as “rebirth” and whether there is becoming manifesting upon waking up?",Rebirth,Becoming,,,,,,,,,,,,
4,,,22:16,,,Do the monks at Wat Pah Pong chant “Chinnabunchon?” Would you show how to chant it?,Wat Pah Pong,Chanting,,,,,,,,,,,,
4,,,26:09,,,"I have an autoimmune disorder of undiagnosed origin. I was wondering if it was worth this precious time of practice to send mettā and thoughts of healing to the body. If so, how do you recommend approaching it? Also, is this compatible with seeing this ailment as a heavenly messenger (and as a contemplation of the body's demise)? As symptom management reduces it to a mild physical irritation should I also contemplate unpleasant feelings? Or is it best to just stay grounded in the breath and mettā and not risk proliferation. Much gratitude.",Sickness,Mindfulness of feeling,Recollection/Death,Proliferation,,,,,,,,,,
4,Extra tags,,,,,,Goodwill,,,,,,,,,,,,,
4,Comment,,30:40,,,"Thank you so much Luang Por for reminding us that chanting is also listening, paying attention, and being mindful. I noticed that when we were chanting at a fast pace, several people wouldn't be able to follow. Many of us are not familiar with Pali or Pali translated into English (combined with low light and small print). Some of us might just need a little more time. So thank you.",Chanting,Gratitude,,,,,,,,,,,,
4,,,31:30,,,Is it a good remedy to sit with eyes open when afflicted with sloth and torpor? Standing? Any other ideas?,Sloth and torpor,Posture/Standing,,,,,,,,,,,,
4,,,36:35,,,What is the English translation of the meal time blessing? Thank you.,Gratitude,Chanting,,,,,,,,,,,,
4,,,39:09,,,"The last two 3:30pm sittings have been challenging. Restless body and proliferating mind. I guess it's my time of day for anxiety. I use several techniques—mettā, 32 body parts, watch my long breaths—and by the time the bell rings, my internal landscape has changed. Thank you all for your teachings. Now, my question. I am still very attached to my husband and children. I don't want to relinquish the intimacy I share with my husband. I will suffer when they are gone. How do I reconcile this practice of relinquishment with the reality that I am a wife, mother and householder? With love.",Gratitude,Family,Lay life,Relinquishment,,,,,,,,,,
4,,,45:25,,,My relationship with my kids can be so contentious and draining—so different than I thought it would be. How can I love and train them even though it seems they were born to resist these things?,Family,Conflict,,,,,,,,,,,,
4,,,47:56,,,"Although in reasonable condition, I am realizing that fear / anxiety of death / non-becoming is pervasive in the background of my daily life. Does the Buddha speak to that which continues after the body dies? Other than the five recollections and contemplating impermanence, does he offer guidance on how to best prepare to greet ones own death? Thank you so much.",Recollection/Death,Rebirth,Impermanence,Fear,,,,,,,,,,
4,,,57:30,,,Can you please talk a bit about samatha meditation and its uses for calming a very agitated or restless mind and how one might go about finding a “disk of earth” or an object of suitable color? Do they sell these somewhere? Amazon? Thank you for your explanation.,Calming meditation,Kasiṇa,,,,,,,,,,,,
4,,,61:33,,,I am wondering if Buddha spoke about what part of us reincarnates. Is it possible to remember our past lives? Thank you.,Rebirth,Psychic powers,,,,,,,,,,,,
4,,,65:48,,,"The other day when I was meditating, my heart started beating very fast. Then I got really cold and my body started shivering. I started breathing very deep to calm the body down but still couldn't control the shaking. At times like this, is it better to stop and take care of the body or keep meditating through it? Thank you.",Meditation/Unusual experiences,,,,,,,,,,,,,
4,,,67:40,,,"Can you provide a reference as to where this printed version of the 16 stages of ānāpānasati comes from? Author, publication?",,,,,,,,,,,,,,
4,,,68:20,,,The delusional gravity of the mind has grown stronger as I have aged. I can space out now like never before! Do you have suggestions for cutting through this spacey delusion?,Delusion,Ageing,,,,,,,,,,,,
5,,,0:15,,,"How do I use the teaching today about investigating the cause of suffering when working with betrayal? Been married to high school sweetheart for 40 years. Raised children together and best of friends. Lately he has gone off the deep end. Midlife crisis? - who knows, but he started drinking and acting out sexually. The feelings of shock, betrayal, hurt, anger and fear are beyond words. If new relationship I would leave, but he has been in my life since I was a child. Impossible to accept but hard to leave. How do I find the cause of suffering (noble truth) you spoke of today? And how to bring some equanimity and space around this?",Cause of Suffering,Relationships,Family,Intoxicants,,,,,,,,,,
5,Extra tags,,,,,,Sexual misconduct,Aversion,Equanimity,,,,,,,,,,,
5,,,8:50,,,How does a “stream enterer” know in their next life that she/he is a stream enterer?,Stream entry,Rebirth,,,,,,,,,,,,
5,,,10:52,,,"Can you talk about the quality of disgust, and how it is beneficial for practice? For example, awareness of the disgusting nature of eating and the digestive process arises when I'm eating. In all honesty, I try to finish my food as quickly as possible when this happens. Unpleasant. Is there a better / more skillful way to hold this experience?",Disenchantment,Food,,,,,,,,,,,,
5,,,24:15,,,"I just wanted to share my gratitude for Ajahn Karuṇadhammo, Ajahn Ñāniko, and Debbie (you too Luang Por) for giving each day, very needed and timely encouragements—sometimes immediately answering a question I had just posed to myself. It's like you are all just reading my mind / heart. Questions go deeper and so do your reflections on Dhamma. (Bow, bow, bow, añjali.)",Gratitude,Ajahn Pasanno,Ajahn Karuṇadhammo,Ajahn Ñāṇiko,,,,,,,,,,
5,Extra tags,,,,,,Debbie Stamp,Teaching Dhamma,,,,,,,,,,,,
5,,,25:51,,,"There is a borderline between being fierce (in a wholesome way) and being aggressive.  I can't say anything about Dhamma teachers as I have never experienced Thai Ajahns, but a few yoga teachers I've studied with in my opinion were rather just exercising their power over students. How to tell the difference between a teacher who genuinely means well to their students while acting fierce-fully from someone on a power trip?",Teaching Dhamma,Fierce/direct teaching,,,,,,,,,,,,
5,,,34:00,,,"It seems that suffering in the lives of many people, my own included, comes from feeling unworthy or unlovable. Would you have any thoughts on why so many people feel that way and what will help to let go of this feeling? Thank you!",Guilt/shame/inadequacy,,,,,,,,,,,,,
5,,,39:33,,,It was such a joy to hear Khun Debbie give a Dhamma talk at the retreat along with the monastics. She is a jewel. Actually you all are…(triple gem). Thank you.,Gratitude,Debbie Stamp,Teaching Dhamma,,,,,,,,,,,
5,,,40:03,,,"Perception can be very slippery. I experience it as a veil, view, filter, or lens that colors a situation. The traditional Buddhist teaching of, “tinted glasses” and “bowls of water,” is very helpful. However, identification is strong. Do you have suggestions for how to see through perception? How to know when it is coloring my world view?",Perception,Self-identity view,Delusion,,,,,,,,,,,
5,,,43:52,,,What is the difference between directed thought and verbal fabrication? Thank you for showing us patience.,Directed thought and evaluation,Volitional formations,,,,,,,,,,,,
5,,,46:55,,,"Thank you so very much for your very compassionate, clear, and useful teachings. Can you please talk a little bit about dependent origination so that we may put an end to the causes of suffering? Thank you again for your compassionate teachings and humor. We appreciate you and the rest of the Sangha!",Gratitude,Dependent origination,Cessation of Suffering,,Conditionality,,,,,,Yes,,,
5,Story,,,,,Ajahn Pasanno writes a term paper on dependent origination at university.,Ajahn Pasanno,Dependent origination,,,,,,,,,,,,
5,Indirect quote,,,,,"When you're falling down from a tree, you don't have to count the branches. You just have to know that when you hit the bottom, it's going to hurt.|Ajahn Chah",Ajahn Chah,Dependent origination,Suffering,,,,,,,,,,,
5,,,52:10,,,"How can one investigate without getting the mind too active? I find that when I try to investigate or reflect, my mind gets so active that I find myself getting caught up in it. Thank you.",Investigation of states,Recollection,Proliferation,,,,,,,,,,,
5,,,55:03,,,Are the teachings being recorded? What happened to the usual football game? Do you know?,,,,,,,,,,,,,,
5,,,55:45,,,"This is a comment to say thank you to the whole Sangha, really, for your interest in practice. We were doing walking meditation and there was such a contrast between the cars driving through and the walking practice. Usually, I feel more alone in practice. It feels so good not to be the odd one out. You guys almost made me cry with sweeping the walking paths yesterday. Thank you Sangha.",Gratitude,Posture/Walking,Spiritual friendship,,,,,,,,,,,
5,,,56:47,,,I once heard a Tibetan teacher say “the Dharma is one.” Can the Dhamma mean phenomena in general or am I just misunderstanding?,Mindfulness of dhammas,Dhamma,,,,,,,,,,,,
5,,,57:55,,,"My body does not physically handle sitting or stationary positions for long periods of time. I would like to do more walking meditation. Walking has a lot more distractions. Can you give some specifics on where to put my focus? Rise and fall of breath, feet, skeleton moving? Where to look, etc. Is it possible to achieve the same level of calmness, concentration and insights when the body is moving and you cannot close the eyes or keep focus on one spot?",Posture/Walking,Proliferation,Calming meditation,Insight meditation,,,,,,,,,,
5,,,63:57,,,"Was the fire sermon a “teaching moment” of hyperbole? I love to take photographs, for example, and it helps me engage much more deeply with the world outside my skull. And it fills me with rapture, compassion, and joy! Does the Buddha's recipe for liberation truly entail cutting off this experience of beauty? Where's the Theravada equivalent to the Zen “suchness” —the awe of life and its ephemerality? Thank you!",Dispassion,Impermanence,Suchness,Recreation/leisure/sport,,,,,,,,,,
5,Extra tags,,,,,,Liberation,Compassion,Happiness,Beauty,,,,,,,,,,
5,Sutta,,,,,SN 35.28: Ādittapariyāya Sutta,,,,,,,,,,,,,,
5,,,71:40,,,"I've wondered for some time how to put together (a) birth, aging, death or dukkha and (b) the cause of dukkha as craving. Is it correct to say that the source of dukkha is in the mind (i.e., craving)? If so, what does it mean to say that birth, aging, and death—facts that we don't control and can't change—are dukkha? Thank you for your generosity and wisdom.",Cause of Suffering,Craving,Noble Truth of Suffering,,,,,,,,,,,
5,,,74:24,,,"I was very fortunate to receive a Pali name from the Sangha. At first, I was very energized in my practice but then I saw it as just another identity to work with, particularly from a pride and self-view side. I seldom use my Pali name these days but I realize that I am neglecting this gift. How do I use my Pali name skillfully in my practice?",Pāli,Self-identity view,Language,,,,,,,,,,,
5,,,80:06,,,"Was Pali ever a conversational language? Do you know of a translation of suttas that use more common, everyday words? For example, saying…letting go or releasing instead of relinquishing. I like to use simple words in the day to remind myself.",Pāli,History/Early Buddhism,Sutta,Translation,,,,,,,,,,
5,Extra tags,,,,,,Language,,,,,,,,,,,,,
5,Note,,,,,Bhante Sujato's translations (available on [suttacentral.net](https://suttacentral.net/pitaka/sutta)) use less technical terms.,,,,,,,,,,,,,,
6,,,0:15,,,"A question regarding the 5 precepts. In daily life, I am really good about keeping #1, 2, 3 and 5; but somehow I found that the precept #4 is really hard. I find myself lying everyday such as: “Do I look good?” → Yes, of course. “Do you want to eat some more?” → No, thanks, I’m full (but in fact the food didn’t taste good). Or speaking at a wrong time, speaking too long, toos hort, too harsh or speaking with a wrong tone of voice. This is the hardest one for me. Kindly advise. Thank you.",Five Precepts,False speech,Right Speech,,,,,,,,,,,
6,,,3:12,,,What is left once there is no self? Is it the same as enlightenment? Can a person still function in a daily life (drive a car for example)?,Not-self,Stages of awakening,,,,,,,,,,,,
6,,,8:05,,,Thank you for bringing much needed yoga to the retreat and many thanks to Corina for her wonderful classes and her selfless service!,Gratitude,,,,,,,,,,,,,
6,,,8:28,,,How and when did Buddhism come to Thailand?,History/Thai Buddhism,,,,,,,,,,,,,
6,,,11:43,,,"Can you define / explain saṅkhāras—mental formations? For example, what phenomena does it include? How can one evaluate what is or is not a saṅkhāra? How does it differ from the hindi / yogic samskara? Thank you.",Volitional formations,Culture/India,,,,,,,,,,,,
6,,,16:27,,,"I’m wondering why the chanting says, “for me there is no other refuge, the Buddha is my excellent refuge,” and the same for the Dhamma and the Sangha when all three are refuges. Also, why are the Dhamma and the Sangha referred to as “Lord?” Thank you.",Chanting,Three Refuges,,,,,,,,,,,,
6,Reference,,,,,Chanting Book p. 23,,,,,,,,,,,,,,
6,Comment,,19:06,,,I’ve recently been blessed with two local Dhamma teachers separately teaching on the hindrances. Both suggested noticing when the hindrances are not present. That’s been a hard concept to recognize. Today’s teachings on looking at the opposite of a hindrance when it is present allowed me to become consciously aware and look at “why is the opposite not present in this moment” and “what I need to release the hindrance?” I guess I’m a right-brain person. Thank you for the change in perspective.,Hindrances,Cessation,Gratitude,,,,,,,,,,,
6,,,19:59,,,Can you please explain releasing the mind (again) in the context of the 12th step of the ānāpānasati. Thank you for your teachings. Mettā!,Release,Mindfulness of breathing,Mindfulness of mind,,,,,,,,,,,
