Key,Value,,,,,,,,,,,,,,,,
3,,,25:00,,How are the jhāna factors causal bases for awareness to relase into Nibbāna? Do they diminish craving all the way?,,Release,Nibbāna,Craving,,Contentment,,,,,,
3,Comment,,26:25,,Excercise in the morning can be used to overcome sloth.,,Excercise,Sloth and torpor,Energy,,,,,,,,
3,Response,,,,,,,,,,Ajahn Pasanno,,,,,,
3,,,27:35,,Ajahn Chah said happiness and unhappiness are two ends of suffereing and we should aim for peace. Is this kind of jhānic happiness different from what he was talking about?,,Ajahn Chah,Happiness,Suffering,,,,,,,,
3,,,28:41,,That sukha (happiness) is still experienced through the sense object of the mind?,,Happiness,Rapture,Sense Bases,,Mindfulness of body,,,,,,
3,Quote,,,,"The way the Buddha describes the jhāna factors, all the images are grounded in the body. (MN 39.15)",,Jhāna,Similes,Mindfulness of body,,,,,,,,
3,,,30:12,,So it [jhāna] is still a conditional thing?,,Conditionality,,,,,,,,,,
3,,,30:17,,"The rapture and joy that are being described are not pleasure, right?",,Rapture,Happiness,,,Pāli,,,,,,
3,Commentary,,,,Path of Purification p. 139,,Rapture,Happiness,Similes,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
