Key,Value,,,,,,,,,,,,,,,,,
1,,,43:01,,Some people want to help but find themselves in situations in which profit dictates the priorities. How can they protect their integrity in such situations?,,Compassion,Health care,Commerce/economics,Right intention,Learning,Idealism,Requisites,Happiness,,,,
1,Story,,,,"Ajahn Karuniko studies engineering, then quits a job in the arms industry to become a monk.",,Right livelihood,Learning,Military,Monastic life/Motivation,,,,,,,,
1,Comment,,46:42,,It's not easy giving up the things we're used to in order to follow the path.,AKd,Renunciation,Eightfold Path,Clinging,Happiness,,,,,,,,
1,Response,,,,,,Suffering,Commerce/economics,,,,,,,,,,
1,,,49:12,50:11,"When quitting a job, should you consider the welfare of the next person who will fill it?",,,,,,,,,,,,,
1,Comment,,50:16,,Right Livelihood isn't about judging other people's livelihood.,AY,Judgementalism,,,,,,,,,,,
1,Response,,,,,,Eightfold Path,Pāli,Cessation of suffering,Happiness,,,,,,,,
1,Comment,s,52:53,,about Temple Grandon designing low-anxiety slaughterhouses.,,Killing,Food,,,,,,,,,,
1,Response,,,,,,,,,,,,,,,,,
1,Quote,,55:03,55:34,"The Buddha's function was not to make grand pronouncements that apply universally, everywhere, all the time. He gave guidelines to relfect a variety of circumstances, personal effects, social effects, and then make a decision from there.",,Buddha,Idealism,Discernment,Conditionality,,,,,,,,
1,Extra tags,,,,,,Kamma,Community,Politics and society,,,,,,,,,
1,Comment,s,55:44,57:50,about thinking versus feeling out the quality of the heart in decision making.,,Directed thought and evaluation,Mindfulness of mind,Discernment,Clear comprehension,,,,,,,,
1,Response,,,,,,,,,,,,,,,,,
