Modified:,2024,,,,,,,,,,,,,,,
3,,,0:22,,,"As inspiration for the rest of us, would you please talk about some of your milestone insights over your years of practice and what kept you going over the years, especially when you hit roadblocks?",Ajahn Pasanno,Monastic life/Motivation,Long-term practice,,,,,,,
3,,,6:27,,,"Inclining mind toward happiness, joy, lightness, exhilaration, the good, sometimes feels a bit Polyanna-ish. What about all the wars, refugees, my job, illness, pain, etc. Aren't these also the way things are – unpleasant, dark, and negative?",Gladdening the mind,Suffering,,,,,,,,
3,,,11:03,,,"You spoke of using the body as reference, backdrop for the breath. Always coming back to the body. Doesn't this foster a sense of attachment to the body as mine? And what if the body is not in good shape, ill, and hurting?",Mindfulness of body,Mindfulness of breathing,Clinging,Sickness,,,,,,
3,,,13:22,,,"I am doing well when sitting or walking – my container of mindfulness is filling. However, it seems to be leaking during every other activity. Walking to the meal, in my room, going to the bathroom, eating. Help! I seem to be defeating my own efforts.",Continuity of mindfulness,,,,,,,,,
3,,,18:50,,,How can we apply the law of cause and effect in daily life? How can we apply this law to such a simple thing to remove suffering?,Kamma,Cessation of Suffering,,,,,,,,
3,,,21:02,,,"Would you remind us what “the four pairs, the eight kinds of noble beings” means and perhaps in a nutshell what is the English translation of the meal blessing?",Stages of awakening,,,,,,,,,
3,,,25:53,,,"Could you offer a bit of advice on how to deal with the apparent dichotomy between seeing people (including myself) as real & solid (for example when sending them metta), and the doctrine of no-self whereby there is no such imagined solidity at all – just an ever-changing combination of the khandas?",Not-self,,,,,,,,,
3,,,30:44,,,"What if a short breath never comes? Am I stuck on the long breath or can I create a short breath and move on? Are the steps to anapanasati sequential, and do I observe them, cultivate them, or both?",Mindfulness of breathing,,,,,,,,,
3,,,35:54,,,How does one avoid controlling the breath when observing it?,Mindfulness of breathing,,,,,,,,,
3,,,38:39,,,"In addition to being aware of our body, is it acceptable to use visual imagery? For example, seeing oneself standing by the ocean breathing in air created by the waves.",Visualization,,,,,,,,,
3,,,42:29,,,"Could you describe the meaning of abide, pervading, and imbued in the phrase “I will abide pervading one quarter with a mind imbued with lovingkindness?”",Goodwill,,,,,,,,,
3,,,46:46,,,"Does the breath body exist as an object of mind? As the Buddha mentions it so specifically, I would be grateful for more clarification on the “breath body.”",Mindfulness of breathing,,,,,,,,,
3,,,51:02,,,"I notice that the calmer my mind becomes, the more imperceptible my breath is – to the point of feeling a suspension of breathing and at times a complete cessation. This sometimes seems to lead to sleepiness and torpor. How can I bring my mind back to a state of focus without manipulating my breath?",Mindfulness of breathing,Sloth and torpor,,,,,,,,
3,,,56:05,,,"When negative feelings arise, whether they be fear, anxiety, loneliness, etc., how do we investigate them? Does breathing into these feelings and being fully present (without trying to push them away) help to become aware of the true cause of these feelings? Is the cause of these feelings always craving of some kind?",Emotion,Mindfulness of breathing,Cause of Suffering,Craving,,,,,,
3,,,60:30,,,"In a Dhamma talk at Abhayagiri, you quoted Luang Por Chah as saying “Nibbana lies on the shores of death.” Could you say more about this?",Nibbāna,Death,Ajahn Chah,,,,,,,
3,,,63:45,,,How are you satisfied and/or dissatisfied with students?,Teaching Dhamma,,,,,,,,,
4,,,0:07,,,What are the consequences of breaking a precept?,Precepts,,,,,,,,,
4,,,8:51,,,Some meditators associate “peak experiences” with spiritual progress. What are the benefits and drawbacks of this approach?,Long-term practice,,,,,,,,,
4,,,10:33,,,"Of the four elements, please explain wind element.",Elements,,,,,,,,,
4,,,13:28,,,"“Luminous is the mind.” Is the luminous mind conditioned or unconditioned? If unconditioned, then it's Nirvana. If conditioned/impermanent, then Nirvana is beyond the mind? Yet it can be known by the mind?",Nature of mind,Unconditioned,Nibbāna,,,,,,,
4,,,15:02,,,Did you say the defilements are advantageous? (The questioner misheard “adventitious.”),Unwholesome Roots,,,,,,,,,
4,,,15:45,,,Do any of you who reside at the monastery vote in local or national elections? I also wonder if you get involved in public discussions on local policies as they pertain to or potentially affect the monastery?,Monastic life,Politics and society,,,,,,,,
4,,,18:43,,,"Persistent physical pain. Not chronic, just from sitting. How do I work skillfully with it? Right now the meditations feel swamped with it?",Pain,Meditation/General advice,,,,,,,,
4,,,21:52,,,Could you talk about how to manage doubt when it arises?,Doubt,,,,,,,,,
4,,,24:07,,,Do monks on retreat feel as much pain as we do? Is pain sankharas?,Pain,Volitional formations,,,,,,,,
4,,,26:17,,,Can you repeat the aspect of sankharas other than mental volitional energy?,Volitional formations,,,,,,,,,
4,,,27:56,,,"Is it better to stick to one mode of breath meditation (visualizations, a mantra, etc.) for a while during the course of a 30-45 minute sit rather than jumping around to various modes?",Meditation/General advice,Mindfulness of breathing,,,,,,,,
4,,,31:28,,,"If the list of the five khandas is intended to be linear, why is sense-consciousness the final one?",Aggregates,Consciousness,,,,,,,,
4,,,34:19,,,What is the difference between a fetter and a hindrance?,Fetters,Hindrances,,,,,,,,
4,,,39:49,,,One of the books I have read suggests to practice the last moment of life every night. What would you suggest for practicing marananussati?,Recollection/Death,,,,,,,,,
4,,,42:45,,,"There is a mean streak in my family, a tendency to be dishonest and manipulative. I can see how it has been passed down over generations. I have worked hard to overcome these habits in myself. At this stage of life my familiar relationships are mostly positive and harmonious, but I still sometimes run across their manipulation or dishonesty. I would like to discuss or address it within my family, but there is no apperent recouse or means of addressing the situation. Any questions?",Family,False speech,,,,,,,,
4,,,48:38,,,"Sitting with the Sangha, I am learning how to feel joy.",Gratitude,Happiness,,,,,,,,
4,,,48:47,,,Please say more about what a monastic retreat offers compared to an “ordinary” retreat. What are the differences?,Monastic life,Meditation retreats,,,,,,,,
4,,,53:53,,,"If mind and consciousness are impermanent, what/who is aware? Also, who/what is it that experiences the results of karma, especially after the body dies and perhaps is reborn?",Kamma,Rebirth,Impermanence,Nature of mind,,,,,,
4,,,56:02,,,"Can you please explain mindfulness or awareness of consciousness? I can understand consciousness arising as a result of stimuli entering the sense doors, but how does one become aware of consciousness itself? Or is this the right question about consciousness?",Mindfulness of mind,Consciousness,Nature of mind,,,,,,,
4,,,58:19,,,"Last night you spoke about balancing tranquility of mind with investigation or a theme for contemplation. Can you clarify how this can be accomplished without getting into the usual mind states of planning, associating, etc.?",Tranquility,Investigation of states,Recollection,,,,,,,
4,,,65:09,,,Can you say something about the difference between “the mind” and the brain?,Nature of mind,,,,,,,,,
4,,,67:30,,,Is there a distinction between observing the mind and observing what arises?,Mindfulness of mind,Impermanence,,,,,,,,
4,,,69:51,,,It seems that nimittas can appear before the mind is fully settled in concentration. Is it useful to understand what that is happening? Should one ignore the nimitta until concentration is firmly established? Or is there some other response or skillful way to work with the nimitta while establishing samadhi?,Nimitta,Concentration,,,,,,,,
5,,,0:01,,,"Please explain more how did the Buddha cross the flood, by neither going forward nor standing still. What does this mean?",Becoming,Cessation of Suffering,,,,,,,,
5,,,2:15,,,How could you accomplish studying Buddhism in Thailand with Luang Por Chah? How did Luang Por Chah teach you as a you were a foreigner new monk? How did you cope with the language issue?,Ajahn Pasanno,Ajahn Chah,Monastic life,Language,,,,,,
5,,,9:32,,,You often talk about gladdening and lightening the mind. How do I do that?,Gladdening the mind,,,,,,,,,
5,,,14:01,,,Could you speak a little about the structure of the Pali Canon? How much was written down in the Buddha's time?,History/Early Buddhism,,,,,,,,,
5,,,21:55,,,Could you talk about woman’s ordination (nuns) during the Buddha's time and in modern times?,Women's monastic forms,History/Early Buddhism,,,,,,,,
5,,,26:40,,,Could you talk about the role memory plays in perception?,Memory,Perception,,,,,,,,
5,,,29:16,,,"I'm concerned about Alzheimer's disease and getting stuck between life and death, loosing all I've learned about mindfulness practice and all my dignity. Where is the silver lining in this life's challenge?",Death,Sickness,Ageing,,,,,,,
5,,,33:00,,,"Please explain the hierarchy of devas, gods, etc. in relation to the Buddha. How is it that a mortal being can be more evolved or enlightened than gods? Do gods and devas create karma? Are they born again as gods or devas or humans?",Deva,Buddha,,,,,,,,
5,,,38:07,,,"If a lay person wants to follow the seventh precept in daily life, refraining from entertainment seems fairly straightforward. Would you please explain more specifically refraining from “beautification and adornment?” Does owning artwork fall anywhere into precept seven?",Entertainment and adornment,,,,,,,,,
5,,,41:58,,,Appreciation for becoming aware of consciousness as a nutriment.,Consciousness,Nutriment,,,,,,,,
5,,,43:59,,,Please demonstrate how to bow. Are there any cultural differences?,Bowing,,,,,,,,,
5,,,51:42,,,"As I've been pondering about consciousness as nutriment, which pointed me to the self. I am wondering, is the self attachment? But attachment is not permanent either. So could we say the self can be either attachment and/or non-attachment, the owner or non-owner? Not trying to find self, rather understanding self? Perhaps pure self as opposed to impure self? Please comment.",Consciousness,Nutriment,Not-self,Clinging,,,,,,
5,,,55:23,,,I was a little confused this morning about the nutriments. I'm assuming the nutriments nourish our suffering. What are the nutriments? How would consciousness and mental volition differ in feeding dukkha?,Nutriment,Consciousness,Volition,Suffering,,,,,,
5,,,60:14,,,Would you share one of Pooh's many nuggets of wisdom to inspire?,Winnie-the-Pooh,,,,,,,,,
5,,,62:06,,,"Can you clarify the difference between desire and intention? It seems that either could lead to suffering due to attachments to the results. Yet we are encouraged to have intentions for well-being, health, happiness, etc. Isn't our intention also a desire?",Desire,Volition,Clinging,,,,,,,
6,,,0:00,,,"In working with the Four Noble Truths, to understand suffering, does the Buddha mean knowing for instance the pain in your heart, the stress around your eyes, or does he also mean to see with insight its karmic effect on yourself and others?",Four Noble Truths,Noble Truth of Suffering,Kamma,,,,,,,
6,,,3:29,,,"To abandon the cause, does it mean in that moment or completely?",Cause of Suffering,,,,,,,,,
6,,,4:46,,,All the stories you told us this morning made me realize the fact that what we are seeking is just right here in our mind. What do you think?,Nature of mind,,,,,,,,,
6,,,8:38,,,Could you talk more about the two levels of understanding the true nature of karma: mundane and transcendent?,Kamma,,,,,,,,,
6,,,12:49,,,Competitiveness feels so pervasive here in America. What are your thoughts for working with it or healing it?,Competitiveness,Culture/West,,,,,,,,
6,,,20:26,,,Could you describe the progression of anagarika and samanera training?,Sequence of training,,,,,,,,,
6,,,26:04,,,"The Middle Way – It is not 50% becoming and 50% annihilation, right? What is it the middle of?",Middle Path,,,,,,,,,
6,,,26:34,,,"Toward the end of this morning sitting meditation, my body started shaking from left to right for about a minute or so. While this was happening, I was observing it without getting panicked or trying to stop it and then it stopped shaking. How do you explain this experience?",Meditation/Unusual experiences,,,,,,,,,
6,,,28:29,,,"In this afternoon's talk, Ajahn Karunadhammo mentioned the benefits of the bhava that results from practice or the Eightfold Path. Could you elaborate on this?",Eightfold Path,Becoming,,,,,,,,
6,,,35:50,,,Did the Buddha perform any miracles?,Psychic powers,Buddha,,,,,,,,
6,,,36:57,,,Can the monastics speak about the skillful use of caffeine for their practice?,Medicinal requisites,,,,,,,,,
6,,,40:05,,,Can you please explain the asavas?,Outflows,,,,,,,,,
6,,,43:57,,,Please speak a little about kataññu.,Gratitude,,,,,,,,,
6,,,50:41,,,How can I continue to deepen my practice in the absence of a living teacher?,Long-term practice,Teachers,,,,,,,,
6,,,55:40,,,Is it useful to investigate how we can only experience one conscious moment at a time?,Consciousness,Investigation of states,,,,,,,,
7,,,0:12,,,I was just reading a talk of Ajahn Chah's. He mentions “vipassanu.” Could you explain this more?,Ajahn Chah,Insight meditation,,,,,,,,
7,,,1:00,,,"An Ajahn visiting Abhayagiri spoke of you receiving an honor. Would you elaborate on what it was, who bestows it, and what it means for you and the community?",Monastic titles,Ajahn Pasanno,Abhayagiri,,,,,,,
7,,,7:40,,,Could you talk a bit about the kilesas? How to work with them skillfully without falling into discouragement and self-judgment?,Unwholesome Roots,,,,,,,,,
7,,,13:29,,,Can you repeat the Thai words for “Is it worth it?” that you mentioned this morning? I'd like to use it as a mantra.,Thai,,,,,,,,,
7,,,14:08,,,Are there any suttas in the Majjhima Nikaya that you recommend that lay people study?,Sutta,,,,,,,,,
7,,,15:10,,,Can you give me some ideas for antidotes to restlessness?,Restlessness and worry,,,,,,,,,
7,,,22:23,,,Why is the Buddha referred to in the present tense in the chants? Is it because we are referring to the present potential within us?,Buddha,Chanting,,,,,,,,
7,,,24:27,,,"When bowing three times, do you say something in your mind like taking refuge or anything else?",Bowing,Three Refuges,,,,,,,,
7,,,27:42,,,Can you say more about trusting the seeds of meditation practice after Alzheimer's/dementia kick in? What do you mean by going beyond liberation or consciousness? What do you mean by “many deeper layers” are affected by the practice and the fruits of it will express naturally?,Sickness,Consciousness,Long-term practice,,,,,,,
7,,,37:35,,,"After forty years of meditating, what do you still find that is interesting?",Long-term practice,,,,,,,,,
7,,,39:40,,,I am so grateful for the peace I am developing in my life. It feels like a refuge. Is it the fourth refuge?,Three Refuges,,,,,,,,,
7,,,44:12,,,"Several months ago, I started to use the phrase: “I'd rather be loved than right.” This small shift has had a tremendous impact in my life as I relinquish my need to be right, to control and to assert my ego into things.",Relinquishment,Views,,,,,,,,
7,,,48:39,,,How important is chanting for one's practice? Do you have any tips for how to recite/remember the Pali chants?,Chanting,Memory,,,,,,,,
8,,,0:10,,,I'm having a hard time with alcohol (not here!). Not heavy or even daily use; a glass of wine with dinner a few nights a week or at social events. I would like to stop but have a hard time sustaining for more than a month or so. Any words of encouragement?,Intoxicants,,,,,,,,,
8,,,3:02,,,"When you spent time with family, did you notice any old habits resurfacing?",Ajahn Pasanno,Family,Habits,,,,,,,
8,,,5:15,,,Can you please speak about faith? How to develop it? How to maintain it through the ups and downs of practice? How have you maintained your faith over forty years of practice?,Faith,Long-term practice,Ajahn Pasanno,,,,,,,
8,,,9:42,,,"I was wondering if the merit we have done for meditation practice can be dedicated to the people (dead or alive) we pray for? How do we know it? Also, I have heard that the merit from practicing meditation will accumulate and stay with ones who have practiced that, which also carries over throughout the life or the subsequent incarnations. Can you clarify this?",Merit,Rebirth,,,,,,,,
8,,,21:12,,,I understand that there is a council of Theravada elders who are a “decision making panel” guiding the tradition. Who exactly is part of this council and who or what determines their eligibility? Will the honor being bestowed upon you and Ajahn Amaro next month make you eligible? Are there other monks in modern times who have received this honor?,History/Thai Buddhism,Saṅgha decision making,Monastic titles,Ajahn Pasanno,,,,,,
8,Extra tags,,,,,,Ajahn Amaro,,,,,,,,,
8,,,26:16,,,"If I remember correctly, you said with practice what can be realized is not so much the abandonment of the self but the misperception of a self given there has never been a self to be abandoned, correct?",Not-self,,,,,,,,,
8,,,30:43,,,Can you give a concrete description of how you recollect or contemplate? What's going on in your mind while you do it? What resources or mental formations do you use?,Recollection,,,,,,,,,
8,,,34:16,,,What chants would you recommend as suitable to use for patients who may be in hospice or close to death? Can Buddhist monks give last rites?,Death,Chanting,,,,,,,,
8,,,45:30,,,"The Buddha said that vedana is either pleasant, unpleasant, or neither. Contemplating papañca, I noticed that it felt comfortable – familiar and unthreatening. Would a better way to “neither pleasant nor unpleasant” be “comfortable” rather than “neutral?”",Feeling,Proliferation,Neutral feeling,,,,,,,
8,,,48:19,,,Can you tell us what you find interesting about the breath? What insights have arisen for you from watching the breath?,Mindfulness of breathing,Insight meditation,,,,,,,,
8,,,49:35,,,"Do you have any tips for embodying the Dhamma in business situations when negotiating with aggressive individuals? I tend to walk away at a certain point, but am wondering if there's another way to turn it around, make it better for everyone?",Work,Right Speech,,,,,,,,
8,,,51:57,,,Have you ever put a publication together on the retreat questions? Are the talks of this retreat being recorded?,Teaching Dhamma,Meditation retreats,Questions,,,,,,,
8,,,54:55,,,"For decades, I believed the suffering was the food itself–that cake, that pastry, more food, another bowlful. But now I understand dukkha is not “the thing.” It is the overwhelming craving, the feeling itself. And now that the dukkha is understood, how do I tolerate that feeling?",Food,Suffering,Craving,Noble Truth of Suffering,,,,,,
8,Extra tags,,,,,,Patience,,,,,,,,,
8,,,55:53,,,"Is it possible to meditate on forgiveness for someone who died many years ago? Does forgiveness reach that person on some level, or is it more a matter of showing compssion towards myself?",Forgiveness,Compassion,,,,,,,,
8,,,57:25,,,Could you explain what your ordination names mean and how they were chosen?,Monastic titles,,,,,,,,,
8,,,59:08,,,How does the process work to get a title as you do? Is this title only for monks? Will you be the only one in the USA?,Monastic titles,Ajahn Pasanno,,,,,,,,
8,,,60:53,,,"I understand that our genetic disposition can't be changed, but epigenetics say that their expression can be modified by changing lifestyle. In a similar way, our kamma is given but understanding but your teachings say the expression and effects can be changed by practice. Please comment.",Science,Health,Kamma,,,,,,,
8,,,62:59,,,Could you speak about Buddhist involvement in social change movements?,Politics and society,Activism,,,,,,,,
8,,,70:01,,,Who are the most senior monks in the Thai Forest Tradition? Can you speak about the lineage? Are there Thai teachers of your seniority who come to the West?,Thai Forest Tradition,,,,,,,,,
8,,,76:28,,,I have attended many deaths and that last breath appears to be really difficult to relinquish. Does this training really help?,Death,Relinquishment,Long-term practice,,,,,,,
8,,,77:21,,,"In the Anapanasati Sutta, what is meant by “breathing in/out tranquilizing the mental formation?”",Mindfulness of breathing,Volitional formations,,,,,,,,
8,,,78:23,,,Can you recommend a reflection or phrase to use immediately upon awakening in the morning or the last thing before sleep?,Recollection,,,,,,,,,
8,,,79:56,,,I'm curious about the ceremony to bestow the honorific title. What does it entail? What is the new title? Does it change the appropriate way for us to address or refer to you?,Monastic titles,Ajahn Pasanno,,,,,,,,
8,,,82:55,,,"If one were to choose a life partner who was not practicing the Dhamma as we know it but had some spiritual lightness about them, what are some qualities we should look for in them that would make them a good partner?",Relationships,,,,,,,,,
8,,,86:25,,,"Do you think it's possible to experience Nibbana before becoming fully awakened - “moments of enlightenment?” But if Nibbana is beyond consciousness, would you remember that it happened?",Nibbāna,Stages of awakening,Consciousness,,,,,,,
8,,,87:48,,,"Is there a way to measure concentration, mindfulness, and awareness?",Right Mindfulness,Right Concentration,Present moment awareness,,,,,,,
