Modified:,2024,,,,,,,,,
Tag,Flags,Display as,Related,Status,Key topic,Topic code,Progress memo,Short note,Long note,
Mindfulness of body,,,,,,,,,,
Mindfulness of breathing,,,,Sorted,,,Waiting for PSD2023 excerpt.,,,
Posture/Walking,,Walking meditation,,Reviewed,,,,,,
Chanting,,,,,,,,,,
Recollection,,,,,,,Need to review excerpts in UD2019-5.,,,
Continuity of mindfulness,,,,Reviewed,,,,,,
Present moment awareness,+,,,,,,,,,
Direct experience,,,,,,,,,,
Knowing itself,,,,,,,,,,
Long-term practice,,,,Reviewed,,,,,,
,,,,,,,,,,
Faith,,,,,Skillful Qualities,skillful,,,,
Energy,,,Right Effort,,,,,,,
Devotion to wakefulness,+,,,,,,,,,
Mindfulness,,,,Reviewed,,,,,,
Concentration,,,,Reviewed,,,,,,
Discernment,,,,Reviewed,,,,,,
Appropriate attention,+,,,,,,,,,
Investigation of states,+,,,,,,,,,
Desire,,Skillful desire,,,,,,,,
Patience,,,,,,,,,,
Happiness,,,,Reviewed,,,,,,
Gratitude,,,,,,,,,,
Compassion,,,,Reviewed,,,,,,
Equanimity,,,,Reviewed,,,,,,
,,,,,,,,,,
Unwholesome Roots,,Defilements,,Sorted,Unskillful Qualities,unskillful,,"[Ignorance](cluster:), [Craving](cluster:), [Clinging](cluster:), and [Becoming](cluster:) appear in Dependent Origination below.",,
Unskillful qualities,+,,,,,,,,,
Hindrances,,The Five Hindrances,,,,,,,,
Sensual desire,,,,Reviewed,,,,,,
Greed,+,,,,,,,,,
Aversion,,Aversion and Ill-will,,,,,,,,
Ill-will,+,,,,,,,,,
Sloth and torpor,,,,Reviewed,,,,,,
Restlessness and worry,,,,,,,,,,
Doubt,,,,Reviewed,,,,,,
Delusion,,,,,,,,,,
Proliferation,,,,,,,,,,
Views,,,,,,,,,,
Self-identity view,,,,,,,,,,
Conceit,,Conceit and guilt,,Reviewed,,,,,,
Guilt/shame/inadequacy,+,,,,,,,,,
Judgementalism,+,,,,,,,,,
Perfectionism,+,,,,,,,,,
Jealousy,-,,,,,,,,,
Competitiveness,-,,,,,,,,,
Selfishness,+,,,,,,,,,
Self-pity,-,,,,,,,,,
,,,,,,,,,,
Conditionality,,,,,Buddhist Perspectives on the World,perspectives,,,,
Kamma,,,,,,,,,,
Rebirth,,,,Sorted,,,Wait for AKd Anniv 2021 excerpt.,,,
Not-self,,,,Sorted,,,No mention of rebirth yet.,,,
Nature of mind,,,,Sorted,,,,,,
Realms of existence,,,,Sorted,,,,,,
Deva,+,,,,,,,,,
Human,+,,,,,,,,,
Ghost,+,,,,,,,,,
Animal,+,,,,,,,,,
Hell,+,,,,,,,,,
Non-human beings,-,,,,,,,,,
Recollection/Devas,-,,,,,,,,,
Dependent origination,,,,,Dependent Origination,origination,,,,
Ignorance,,,,,,,,,,
Volitional formations,,,,,,,,,,
Consciousness,,,,,,,,,,
Aggregates,,Name and form,,,,,,,,
Sense bases,,,,,,,,,,
Contact,,,,,,,,,,
Feeling,,,,,,,,,,
Craving,,,,,,,,,,
Clinging,,,,,,,,,,
Becoming,,,,Reviewed,,,,,,
Craving not to become,+,,,,,,,,,
,,,,,,,,,,
Dispassion,,,Cessation of Suffering,,Fruits of the Practice,fruits,,,,
Disenchantment,+,,,,,,,,,
Cessation,+,,,,,,,,,
Relinquishment,,,,,,,,,,
Liberation,,,,,,,,,,
Release,+,,,,,,,,,
Stages of awakening,,,,,,,,,,
Stream entry,+,,,,,,,,,
Once return,+,,,,,,,,,
Non-return,+,,,,,,,,,
Arahant,+,,,,,,,,,
Nibbāna,,,,,,,,,,
Deathless,+,,,,,,,,,
Unestablished consciousness,+,,,,,,,,,
Unconditioned,+,,,,,,,,,
Recollection/Peace,-,,,,,,,,,
,,,,,,,,,,
Teaching Dhamma,,,,,Teaching and Teachers,teachers,,,,
Gradual Teaching,+,,,,,,,,,
Questions,+,,,,,,,,,
Dhamma discussion,-,,,,,,,,,
Stories,-,,,,,,,,,
Symbolism,-,,,,,,,,,
Teachers,,,,Sorted,,,,,,
Mentoring,+,,,,,,,,,
Personal presence,+,,,,,,,,,
Fierce/direct teaching,+,,,,,,,,,
Buddha/Biography,,The Buddha,,,,,,,,
Ajahn Mun,,,,,,,,,,
Ajahn Chah,,,,Reviewed,,,,,,
Ajahn Sumedho,,,,Reviewed,,,,,,
Ajahn Pasanno,,,,Sorted,,,Looking for one more excerpt about AP training under LP Chah.,,,
,,,,,,,,,,
Culture/Natural environment,,Natural environment,,,Context of the Teachings,context,,,,
Language,,,,,,,,,,
Pāli,+,,,,,,,,,
Translation,+,,,,,,,,,
Culture/Thailand,,Thai culture,,,,,,,,
Thai,+,,,,,,,,,
History/Thai Buddhism,+,,,,,,,,,
Culture/West,,Western culture,,,,,,,,
,,,,,,,,,,
Monastic life,,,,,Monastic Life,monastic,,,,
Ordination,+,,,,,,,,,
Sequence of training,+,,,,,,,,,
Dependence,-,,,,,,,,,
Monastic routine,-,,,,,,,,,
Perception of a samaṇa,+,,,,,,,,,
Simplicity,-,,,,,,,,,
Monastic life/Motivation,,Motivation,,,,,,,,
Mutual lay/Saṅgha support,,Mutual support,,Sorted,,,,,,
Almsround,+,,,,,,,,,
Requisites,,The Four Requisites,,,,,,,,
Robes,+,,,,,,,,,
Almsfood,+,,,,,,,,,
Almsbowl,-,,,,,,,,,
Lodging,+,,,,,,,,,
Medicinal requisites,+,,,,,,,,,
Monastic crafts,-,,,,,,,,,
Building projects,-,,,,,,,,,
Thai Forest Tradition,,,,,,,,,,
Vinaya,,,,Reviewed,,,,,,
Pāṭimokkha,+,,,,,,,,,
Confession,-,,,,,,,,,
Protocols,+,,,,,,,,,
Not handling money,+,,,,,,,,,
Rains retreat,+,,,,,,,,,
Communal harmony,,Monastic community,,,,,,,,
Saṅgha',+,,,,,,,,,
Fourfold Assembly,+,,,,,,,,,
Principles of Cordiality,+,,,,,,,,,
Saṅgha decision making,+,,,,,,,,,
Abbot,+,,,,,,,,,
Monastery organizational structure,-,,,,,,,,,
Ascetic practices,,,,Reviewed,,,,,,
Tudong,+,,,,,,,,,
Fasting,-,,,,,,,,,
Sitter's practice,-,,,,,,,,,
Women's monastic forms,,,,Reviewed,,,,,,
Bhikkhunī,+,,,,,,,,,
Sīladharā,+,,,,,,,,,
Mae Chee,+,,,,,,,,,
,,,,,,,,,,
Wat Pah Pong,,,,,Monasteries,monasteries,,,,
Wat Pah Nanachat,,,,,,,,,,
Abhayagiri,,,,,,,,,,
,,,,,,,,,,
Everyday life,,,,Reviewed,Everyday Life Practice,everyday,,,,
Lay life,+,,,,,,,,,
Health,,,,,,,,,,
Excercise,-,,,,,,,,,
Smoking,-,,,,,,,,,
Mental illness,-,,,,,,,,,
Health care,+,,,,,,,,,
Pandemic,-,,,,,,,,,
Family,,,,,,,,,,
Parents,+,,,,,,,,,
Children,+,,,,,,,,,
Relationships,,,,Reviewed,,,,,,
Community,,,,,,,,,,
Communal harmony',+,,,,,,,,,
Conflict,+,,,,,,,,,
Leadership,+,,,,,,,,,
Environment,,,,Reviewed,,,,,,
Work,,,Right Livelihood,,,,,,,
Retirement,+,,,,,,,,,
Politics and society,,,,Reviewed,,,,,,
Service,-,,,,,,,,,
Activism,+,,,,,,,,,
Non-profit organizations,-,,,,,,,,,
Corruption,-,,,,,,,,,
Crime,-,,,,,,,,,
Discrimination,-,,,,,,,,,
Military,-,,,,,,,,,
Commerce/economics,,Commerce and economics,,Reviewed,,,,,,
Poverty,+,,,,,,,,,
Technology,,Technology and media,,Reviewed,,,,,,
Industry,-,,,,,,,,,
Science,+,,,,,,,,,
Media,+,,,,,,,,,
News,-,,,,,,,,,
Advertizing,-,,,,,,,,,
Internet,-,,,,,,,,,
Social media,-,,,,,,,,,
Online community,-,,,,,,,,,
